head,dgp,path,t,alpha,true_v,true_e,e0_v,e2_v,e2_e,e3_v,e3_e
chronos_base,garch_t,5,796,0.05,-2.564483468032588,-3.4668285714414533,-0.46067607402801514,-0.7550861188106314,-1.1153905304127518,-0.5166494951537695,-0.7091904217249902
chronos_bolt,garch_t,5,813,0.01,-7.659938190016973,-9.496420269300128,-3.2469828128814697,-8.026447043325966,-10.776070926631412,-7.046901209154837,-8.330498895966835
chronos_bolt,garch_t,5,813,0.025,-6.098427921864607,-7.854175664278369,-3.2469828128814697,-6.0718376910915834,-8.439888679208817,-5.664387515087005,-7.090294279728842
chronos_bolt,garch_t,5,813,0.05,-4.917736053371704,-6.648102071687876,-3.2469828128814697,-4.723423443823451,-6.87668159129704,-4.5176125135118275,-6.061562588431696
chronos_2,garch_t,5,813,0.01,-7.659938190016973,-9.496420269300128,-6.702671051025391,-8.071188608700034,-10.835814142756426,-7.321769047157822,-8.654960394455667
chronos_2,garch_t,5,813,0.025,-6.098427921864607,-7.854175664278369,-5.854972839355469,-6.105915119077702,-8.486885937466944,-5.8858399290322225,-7.366838672022627
chronos_2,garch_t,5,813,0.05,-4.917736053371704,-6.648102071687876,-4.442142486572266,-4.750144069401816,-6.915150160621878,-4.69475761008954,-6.298360438056077
chronos_base,garch_t,5,813,0.01,-7.659938190016973,-9.496420269300128,-0.556739866733551,-1.4989027988555292,-1.9767261950107737,-0.8829989415930242,-1.0254476250531275
chronos_base,garch_t,5,813,0.025,-6.098427921864607,-7.854175664278369,-0.5408329963684082,-1.1592352230419665,-1.5707497477306012,-0.7295729440169075,-0.8878145359479116
chronos_base,garch_t,5,813,0.05,-4.917736053371704,-6.648102071687876,-0.5249261260032654,-0.924910856365594,-1.2990991688368696,-0.602308310496835,-0.7736498903081076
chronos_bolt,garch_t,5,829,0.01,-7.53122820219122,-9.336851861967176,-3.4128763675689697,-8.251667430202687,-11.067758529738443,-7.494803733608694,-8.85756705665647
chronos_bolt,garch_t,5,829,0.025,-5.995956000537303,-7.722201902995531,-3.4128763675689697,-6.254409437016478,-8.676591294977763,-6.015844236697141,-7.537445615447126
chronos_bolt,garch_t,5,829,0.05,-4.835103304665629,-6.53639397229009,-3.4128763675689697,-4.878161948925997,-7.078435746186258,-4.783577597369431,-6.437522584924283
chronos_2,garch_t,5,829,0.01,-7.53122820219122,-9.336851861967176,-7.142184257507324,-8.504095173837957,-11.428465603933962,-7.879592574249282,-9.324177630636312
chronos_2,garch_t,5,829,0.025,-5.995956000537303,-7.722201902995531,-6.224155902862549,-6.430042165570753,-8.945357455940693,-6.311834804351325,-7.924794719213276
chronos_2,garch_t,5,829,0.05,-4.835103304665629,-6.53639397229009,-4.694108486175537,-5.000877654760294,-7.285752470025929,-5.005581588880344,-6.758831161054374
chronos_base,garch_t,5,829,0.01,-7.53122820219122,-9.336851861967176,-0.6516227126121521,-1.1872748219342906,-1.5226215318521161,-1.0464800804146503,-1.1995283730470965
chronos_base,garch_t,5,829,0.025,-5.995956000537303,-7.722201902995531,-0.6357294917106628,-0.9494366721022454,-1.237875748886327,-0.880382107240097,-1.0512690757593526
chronos_base,garch_t,5,829,0.05,-4.835103304665629,-6.53639397229009,-0.6198362708091736,-0.7855499046464985,-1.0475636509174442,-0.7419895470446561,-0.9277396712020467
chronos_bolt,garch_t,5,846,0.01,-4.867283432390465,-6.034222195685771,-2.7353765964508057,-6.61922924704608,-8.91045313114756,-6.149403657475174,-7.429604836986106
chronos_bolt,garch_t,5,846,0.025,-3.875067455035593,-4.990705947947313,-2.7353765964508057,-4.995402018499893,-6.965336543234543,-4.861425970023425,-6.220702309519908
chronos_bolt,garch_t,5,846,0.05,-3.1248313790104265,-4.224341798545953,-2.7353765964508057,-3.8768807975597164,-5.665774846830583,-3.8345150759268942,-5.256838426278237
chronos_2,garch_t,5,846,0.01,-4.867283432390465,-6.034222195685771,-6.667273044586182,-7.388562824988549,-9.914851339102901,-7.037594560695792,-8.483513456567856
chronos_2,garch_t,5,846,0.025,-3.875067455035593,-4.990705947947313,-5.755715370178223,-5.598141511363365,-7.77017847288713,-5.582892514209992,-7.118122582300233
chronos_2,garch_t,5,846,0.05,-3.1248313790104265,-4.224341798545953,-4.236452579498291,-4.364867306750904,-6.337290220547807,-4.423051475227125,-6.029489776665597
chronos_base,garch_t,5,846,0.01,-4.867283432390465,-6.034222195685771,-0.7571307420730591,-1.2784850072581349,-1.6051663504211326,-1.0436029088901173,-1.1915837210725306
chronos_base,garch_t,5,846,0.025,-3.875067455035593,-4.990705947947313,-0.7262274622917175,-1.046960683613025,-1.3278327803770855,-0.8947231958322459,-1.0518444513960552
chronos_base,garch_t,5,846,0.05,-3.1248313790104265,-4.224341798545953,-0.695324182510376,-0.8874825909881539,-1.1425420440809608,-0.7760206742446418,-0.9404296499115834
chronos_bolt,garch_t,5,863,0.01,-5.967463173309977,-7.398171738406333,-3.2942543029785156,-8.076863973329154,-10.725532181034318,-7.6073225015493575,-9.052818750254653
chronos_bolt,garch_t,5,863,0.025,-4.75097097862244,-6.118783581618527,-3.2942543029785156,-6.165861644144167,-8.466026941047893,-6.042479209573821,-7.6537493946287904
chronos_bolt,garch_t,5,863,0.05,-3.8311547778284836,-5.179193787347684,-3.2942543029785156,-4.837659952578629,-6.942796951413526,-4.740566627475486,-6.489756804023754
chronos_2,garch_t,5,863,0.01,-5.967463173309977,-7.398171738406333,-6.832029342651367,-8.38188860595188,-11.14894884117479,-8.289848273822441,-9.876408529898319
chronos_2,garch_t,5,863,0.025,-4.75097097862244,-6.118783581618527,-5.9992475509643555,-6.385466955583072,-8.788446652695246,-6.572294059303341,-8.34080590407495
chronos_2,garch_t,5,863,0.05,-3.8311547778284836,-5.179193787347684,-4.611278057098389,-4.99789637411298,-7.197130261629385,-5.143329604022031,-7.063220864144997
