asset,config,alpha,erule,n,n_alpha,hit_rate,kupiec_stat,kupiec_p_asym,kupiec_p_mc,cc_stat,cc_p_asym,cc_p_mc,dq_p_asym,qs_mean,sigma_tail,prec_floor
audusd,untruncated,0.025,e0,2734,68.35000000000001,0.024140453547915143,0.08381072786585264,0.7721981483988959,0.8055194480551945,2.8169248388272763,0.2445189618700416,0.3301669833016698,0.24929607586337807,0.04073024099975804,0.6052276936141057,0.07320648125070434
audusd,untruncated,0.05,e0,2734,136.70000000000002,0.04754937820043892,0.35115223913408045,0.5534615990878907,0.5711428857114289,0.46552064041816266,0.7923434594821961,0.8156184381561844,0.00496423430219667,0.06911424670966167,0.4953377371036243,0.042365970405733096
brent,topk50,0.01,e0,2641,26.41,0.38356683074592957,5846.131326812707,0.0,9.999000099990002e-05,5846.224118746173,0.0,9.999000099990002e-05,0.0,0.6986274565222111,2.201426601555104,0.4283709480599515
brent,topk50,0.025,e0,2641,66.025,0.39227565316168117,4186.981754042863,0.0,9.999000099990002e-05,4188.596061824181,0.0,9.999000099990002e-05,0.0,0.7197857424661466,2.197403457995281,0.2704304548878579
brent,topk50,0.05,e0,2641,132.05,0.39681938659598637,2894.5508906984123,0.0,9.999000099990002e-05,2896.47001576429,0.0,9.999000099990002e-05,0.0,0.7399623158658155,2.1959725778185115,0.1910986899378307
brent,topk500,0.01,e0,2641,26.41,0.09238924649753881,668.484137911943,2.13432760745151e-147,9.999000099990002e-05,673.7656959507258,4.9389891994231417e-147,9.999000099990002e-05,0.0,0.22522487026349686,3.0545386517807094,0.594376218232646
brent,topk500,0.025,e0,2641,66.025,0.10412722453616055,384.1936708628741,1.5203591681254274e-85,9.999000099990002e-05,387.7220457900835,6.415455554206416e-85,9.999000099990002e-05,1.1264533696383035e-178,0.28179689800269003,2.9530655667168673,0.3634284189438221
brent,topk500,0.05,e0,2641,132.05,0.12305944717909882,214.7534399995527,1.2614026560312683e-48,9.999000099990002e-05,218.44694234269946,3.6715477094512845e-48,9.999000099990002e-05,1.427191130519315e-79,0.36455451172461883,2.818539592500676,0.24527593336336329
brent,untruncated,0.01,e0,2641,26.41,0.015903067020068155,7.883002638317123,0.004990155961547945,0.0053994600539946005,12.500536762032425,0.0019299361085023904,0.0010998900109989002,1.2200144745879532e-09,0.10753445697619111,3.4848617397469592,0.6781118781151834
brent,untruncated,0.025,e0,2641,66.025,0.02953426732298372,2.107134121596687,0.14661366742030743,0.1501849815018498,4.658976725046614,0.09734553997693396,0.09609039096090391,0.0002321697551959076,0.19411312953676546,3.376153827755305,0.4154971232475464
brent,untruncated,0.05,e0,2641,132.05,0.047330556607345704,0.40306619068110194,0.5255099817444651,0.5375462453754625,0.609813583221694,0.7371920836760529,0.7413258674132587,0.4311078702844352,0.3037242687048939,3.1339629219777665,0.272724812118844
btc,topk50,0.01,e0,3796,37.96,0.36406743940990516,7798.967366066833,0.0,9.999000099990002e-05,7802.910913369083,0.0,9.999000099990002e-05,0.0,0.8741822690147619,2.890703989918043,0.46918111175786925
btc,topk50,0.025,e0,3796,94.9,0.3719704952581665,5527.420581187496,0.0,9.999000099990002e-05,5531.886086638675,0.0,9.999000099990002e-05,0.0,0.8963415848977098,2.883590935079557,0.2960060212284691
btc,topk50,0.05,e0,3796,189.8,0.3775026343519494,3795.988364753388,0.0,9.999000099990002e-05,3801.234831013746,0.0,9.999000099990002e-05,0.0,0.9201983840487314,2.8790480572771333,0.208978116289832
btc,topk500,0.01,e0,3796,37.96,0.08561643835616438,844.1646583453339,1.3495440292065835e-185,9.999000099990002e-05,859.0784312838955,2.8411154749812676e-187,9.999000099990002e-05,0.0,0.2875475139180379,3.553077241856249,0.5766888399192206
btc,topk500,0.025,e0,3796,94.9,0.09668071654373024,469.0765202698699,5.0900854794052506e-104,9.999000099990002e-05,483.07084846816724,1.2661876434212299e-105,9.999000099990002e-05,5.265411499085032e-209,0.3648685530612303,3.490651367419311,0.3583219139010777
btc,topk500,0.05,e0,3796,189.8,0.11986301369863013,285.2364304361745,5.426555129134306e-64,9.999000099990002e-05,290.5366592296018,8.142655349387547e-64,9.999000099990002e-05,3.389332827009881e-100,0.47756907499020224,3.3646044041796856,0.24422263069513642
btc,untruncated,0.01,e0,3796,37.96,0.012908324552160169,2.9706218189253377,0.08478925736091585,0.08789121087891211,3.1571991192979567,0.2062637561206346,0.1872812718728127,0.47922837802413654,0.1294981796658621,5.67273718461659,0.9207242070690458
btc,untruncated,0.025,e0,3796,94.9,0.025816649104320338,0.10277676932037139,0.7485225101778318,0.7461253874612539,0.8726252564373453,0.6464156065833708,0.7204279572042795,0.7469066674617271,0.24545916261362224,4.649244449958856,0.47725366819857007
btc,untruncated,0.05,e0,3796,189.8,0.04873551106427819,0.12881355786498716,0.7196653681688941,0.7397260273972602,5.087444744668801,0.07857337539727481,0.0795920407959204,0.01213063488334276,0.39522606652778025,3.900750115408108,0.28313921651112745
dgs10,topk50,0.01,e0,2625,26.25,0.05409523809523809,253.17161897636765,5.284637557291901e-57,9.999000099990002e-05,253.41157421773664,9.383737133885086e-56,9.999000099990002e-05,1.3324650935290988e-128,0.25267371190661475,3.281115940113106,0.640408257061795
dgs10,topk50,0.025,e0,2625,65.625,0.08457142857142858,238.1170724147953,1.0122187785040438e-53,9.999000099990002e-05,239.18485590810087,1.152573054393627e-52,9.999000099990002e-05,8.479500096398999e-97,0.4316940550985791,3.397089578980182,0.41934584172636363
dgs10,topk50,0.05,e0,2625,131.25,0.12114285714285715,203.6745800613371,3.296034877880205e-46,9.999000099990002e-05,204.32537277637903,4.278672494056535e-45,9.999000099990002e-05,2.453594554565459e-75,0.6702112469812492,3.413598198272163,0.29796327877613454
dgs10,topk500,0.01,e0,2625,26.25,0.022095238095238095,28.85162677726305,7.814024315273994e-08,9.999000099990002e-05,28.921620917072232,5.245052191019992e-07,9.999000099990002e-05,4.850509971345947e-09,0.17742099035717201,3.6915477433929307,0.7205163424140308
dgs10,topk500,0.025,e0,2625,65.625,0.04076190476190476,22.541136626279467,2.056913596643459e-06,9.999000099990002e-05,22.63794913294339,1.2140366704693579e-05,9.999000099990002e-05,1.6460808129231323e-09,0.349457813365119,3.4054471299023,0.4203775202101729
dgs10,topk500,0.05,e0,2625,131.25,0.06476190476190476,11.061415685796419,0.0008814281738796426,0.0012998700129987,12.091151060060838,0.0023683174088811308,0.0038996100389961006,4.074802659873541e-06,0.579673111270723,3.2772048420568405,0.286057890601929
dgs10,untruncated,0.01,e0,2625,26.25,0.010285714285714285,0.021443827243899705,0.8835763333511086,0.9183081691830817,0.5828709612029002,0.7471902203114367,0.8720127987201279,0.3656721240737747,0.16706693156106134,4.213696348490196,0.8224293147749101
dgs10,untruncated,0.025,e0,2625,65.625,0.029714285714285714,2.2592603376256193,0.1328174848422202,0.1316868313168683,2.307913917205269,0.31538632639767383,0.39616038396160386,0.11934241262192676,0.33641464846020663,3.5035094505660047,0.4324825958769461
dgs10,untruncated,0.05,e0,2625,131.25,0.05561904761904762,1.6862099354982547,0.19410133750498454,0.2106789321067893,3.224592907607075,0.1994291080739487,0.20467953204679531,0.0018405285391578704,0.5754399306251891,3.238143322506271,0.2826483216476341
dgs2,topk50,0.01,e0,2625,26.25,0.06476190476190476,355.7673795112091,2.3509308396352104e-79,9.999000099990002e-05,359.0254221269024,1.0929999791127198e-78,9.999000099990002e-05,2.464622763060783e-201,0.3321457298095951,4.5911390155129475,0.8960985800311885
dgs2,topk50,0.025,e0,2625,65.625,0.10552380952380952,393.002297147827,1.8377222696064373e-87,9.999000099990002e-05,393.1489530879194,4.253922308844805e-86,9.999000099990002e-05,2.254567108233352e-174,0.5275313621425963,5.028077134921837,0.6206793166289893
dgs2,topk50,0.05,e0,2625,131.25,0.15352380952380953,391.4488023536792,4.00380314139256e-87,9.999000099990002e-05,391.45032746313245,9.945838932091822e-86,9.999000099990002e-05,4.329293970083697e-152,0.754758689838368,4.751718171848,0.41476396578267893
dgs2,topk500,0.01,e0,2625,26.25,0.032,81.2022826071925,2.0375649488566752e-19,9.999000099990002e-05,81.23935546888231,2.2861151580451744e-18,9.999000099990002e-05,9.098841726428127e-39,0.22920463373729166,4.213326062159954,0.8223570422835711
dgs2,topk500,0.025,e0,2625,65.625,0.049523809523809526,50.61315899086867,1.1248829434074439e-12,9.999000099990002e-05,52.50610222025989,3.966840784739981e-12,9.999000099990002e-05,4.082212184107328e-17,0.4059837428461937,5.189672924808021,0.6406271340043562
dgs2,topk500,0.05,e0,2625,131.25,0.08457142857142858,55.197911900250574,1.0898445693223766e-13,9.999000099990002e-05,55.237222529976634,1.0124871726596985e-12,9.999000099990002e-05,4.612649126905475e-22,0.6284956655603375,4.988359830647985,0.43541974319279025
