dgp,path,t,head,support_k,tail_support,tail_nn_gap,bin_gap,n_distinct_sweep
garch_t,1,629,chronos_base,50.0,3.0,0.013078182935714722,0.008718788623809814,3
garch_t,1,629,chronos_bolt,,,,,1
garch_t,1,629,chronos_2,,,,,34
garch_t,1,645,chronos_base,50.0,1.0,,0.00877504050731659,3
garch_t,1,645,chronos_bolt,,,,,1
garch_t,1,645,chronos_2,,,,,34
garch_t,1,662,chronos_base,50.0,2.0,0.017228424549102783,0.008614182472229004,3
garch_t,1,662,chronos_bolt,,,,,1
garch_t,1,662,chronos_2,,,,,34
garch_t,1,679,chronos_base,50.0,2.0,0.008777022361755371,0.008776962757110596,3
garch_t,1,679,chronos_bolt,,,,,1
garch_t,1,679,chronos_2,,,,,34
garch_t,1,696,chronos_base,50.0,2.0,0.017284929752349854,0.008642435073852539,3
garch_t,1,696,chronos_bolt,,,,,1
garch_t,1,696,chronos_2,,,,,34
garch_t,1,712,chronos_base,50.0,2.0,0.017399877309799194,0.008699923753738403,3
garch_t,1,712,chronos_bolt,,,,,1
garch_t,1,712,chronos_2,,,,,34
garch_t,1,729,chronos_base,50.0,1.0,,0.008552312850952148,3
garch_t,1,729,chronos_bolt,,,,,1
garch_t,1,729,chronos_2,,,,,34
garch_t,1,746,chronos_base,50.0,2.0,0.008526057004928589,0.00852598249912262,3
garch_t,1,746,chronos_bolt,,,,,1
garch_t,1,746,chronos_2,,,,,34
garch_t,1,762,chronos_base,50.0,2.0,0.016927450895309448,0.00846371054649353,3
garch_t,1,762,chronos_bolt,,,,,1
garch_t,1,762,chronos_2,,,,,34
garch_t,1,779,chronos_base,50.0,3.0,0.016723081469535828,0.008361518383026123,3
garch_t,1,779,chronos_bolt,,,,,1
garch_t,1,779,chronos_2,,,,,34
garch_t,1,796,chronos_base,50.0,2.0,0.06584149599075317,0.00823017954826355,3
garch_t,1,796,chronos_bolt,,,,,1
garch_t,1,796,chronos_2,,,,,34
garch_t,1,813,chronos_base,50.0,3.0,0.008149072527885437,0.008149057626724243,3
garch_t,1,813,chronos_bolt,,,,,1
garch_t,1,813,chronos_2,,,,,34
garch_t,1,829,chronos_base,50.0,2.0,0.016382932662963867,0.00819145143032074,3
garch_t,1,829,chronos_bolt,,,,,1
garch_t,1,829,chronos_2,,,,,34
garch_t,1,846,chronos_base,50.0,2.0,0.008468806743621826,0.008468776941299438,3
garch_t,1,846,chronos_bolt,,,,,1
garch_t,1,846,chronos_2,,,,,34
garch_t,1,863,chronos_base,50.0,2.0,0.017098426818847656,0.008549213409423828,3
garch_t,1,863,chronos_bolt,,,,,1
garch_t,1,863,chronos_2,,,,,34
garch_t,1,880,chronos_base,50.0,2.0,0.008632153272628784,0.008632123470306396,3
garch_t,1,880,chronos_bolt,,,,,1
garch_t,1,880,chronos_2,,,,,34
garch_t,1,896,chronos_base,50.0,3.0,0.017573505640029907,0.00878673791885376,3
garch_t,1,896,chronos_bolt,,,,,1
garch_t,1,896,chronos_2,,,,,34
garch_t,1,913,chronos_base,50.0,2.0,0.008857578039169312,0.008857578039169312,3
garch_t,1,913,chronos_bolt,,,,,1
garch_t,1,913,chronos_2,,,,,34
garch_t,1,930,chronos_base,50.0,2.0,0.00873294472694397,0.008732914924621582,3
garch_t,1,930,chronos_bolt,,,,,1
garch_t,1,930,chronos_2,,,,,34
garch_t,1,946,chronos_base,50.0,2.0,0.008573919534683228,0.008573919534683228,3
garch_t,1,946,chronos_bolt,,,,,1
garch_t,1,946,chronos_2,,,,,34
garch_t,1,963,chronos_base,50.0,2.0,0.008484631776809692,0.008484601974487305,3
garch_t,1,963,chronos_bolt,,,,,1
garch_t,1,963,chronos_2,,,,,34
garch_t,1,980,chronos_base,50.0,2.0,0.008470296859741211,0.008470296859741211,3
garch_t,1,980,chronos_bolt,,,,,1
garch_t,1,980,chronos_2,,,,,34
garch_t,1,997,chronos_base,50.0,3.0,0.016791313886642456,0.008395642042160034,3
garch_t,1,997,chronos_bolt,,,,,1
garch_t,1,997,chronos_2,,,,,34
garch_t,1,1013,chronos_base,51.0,2.0,0.017019540071487427,0.00850975513458252,3
garch_t,1,1013,chronos_bolt,,,,,1
garch_t,1,1013,chronos_2,,,,,34
garch_t,1,1030,chronos_base,50.0,2.0,0.05289161205291748,0.008815258741378784,3
garch_t,1,1030,chronos_bolt,,,,,1
garch_t,1,1030,chronos_2,,,,,34
garch_t,1,1047,chronos_base,50.0,2.0,0.008968889713287354,0.008968830108642578,3
garch_t,1,1047,chronos_bolt,,,,,1
garch_t,1,1047,chronos_2,,,,,34
garch_t,1,1064,chronos_base,50.0,3.0,0.01847521960735321,0.009237602353096008,3
garch_t,1,1064,chronos_bolt,,,,,1
garch_t,1,1064,chronos_2,,,,,34
garch_t,1,1080,chronos_base,50.0,2.0,0.06743767857551575,0.009633928537368774,3
garch_t,1,1080,chronos_bolt,,,,,1
garch_t,1,1080,chronos_2,,,,,34
garch_t,1,1097,chronos_base,50.0,2.0,0.020077168941497803,0.010038554668426514,3
garch_t,1,1097,chronos_bolt,,,,,1
garch_t,1,1097,chronos_2,,,,,34
garch_t,1,1114,chronos_base,50.0,2.0,0.021663308143615723,0.010831654071807861,3
garch_t,1,1114,chronos_bolt,,,,,1
garch_t,1,1114,chronos_2,,,,,34
garch_t,1,1130,chronos_base,50.0,2.0,0.01081797480583191,0.010817945003509521,3
garch_t,1,1130,chronos_bolt,,,,,1
garch_t,1,1130,chronos_2,,,,,34
garch_t,1,1147,chronos_base,50.0,2.0,0.01092366874217987,0.01092366874217987,3
garch_t,1,1147,chronos_bolt,,,,,1
garch_t,1,1147,chronos_2,,,,,34
garch_t,1,1164,chronos_base,50.0,2.0,0.03253494203090668,0.010844945907592773,3
garch_t,1,1164,chronos_bolt,,,,,1
garch_t,1,1164,chronos_2,,,,,34
garch_t,1,1181,chronos_base,50.0,2.0,0.06552016735076904,0.010920017957687378,3
garch_t,1,1181,chronos_bolt,,,,,1
garch_t,1,1181,chronos_2,,,,,34
garch_t,1,1197,chronos_base,50.0,2.0,0.06405949592590332,0.010676562786102295,3
garch_t,1,1197,chronos_bolt,,,,,1
garch_t,1,1197,chronos_2,,,,,34
garch_t,1,1214,chronos_base,50.0,2.0,0.021185457706451416,0.010592713952064514,3
garch_t,1,1214,chronos_bolt,,,,,1
garch_t,1,1214,chronos_2,,,,,34
garch_t,1,1231,chronos_base,50.0,2.0,0.010478198528289795,0.010478168725967407,3
garch_t,1,1231,chronos_bolt,,,,,1
garch_t,1,1231,chronos_2,,,,,34
garch_t,1,1248,chronos_base,50.0,3.0,0.010481983423233032,0.010481953620910645,3
garch_t,1,1248,chronos_bolt,,,,,1
garch_t,1,1248,chronos_2,,,,,34
garch_t,1,1264,chronos_base,50.0,2.0,0.0104769766330719,0.010476946830749512,3
garch_t,1,1264,chronos_bolt,,,,,1
garch_t,1,1264,chronos_2,,,,,34
garch_t,1,1281,chronos_base,50.0,2.0,0.11627846956253052,0.010570734739303589,3
garch_t,1,1281,chronos_bolt,,,,,1
garch_t,1,1281,chronos_2,,,,,34
garch_t,1,1298,chronos_base,50.0,2.0,0.010689005255699158,0.010688960552215576,3
garch_t,1,1298,chronos_bolt,,,,,1
garch_t,1,1298,chronos_2,,,,,34
garch_t,1,1314,chronos_base,50.0,2.0,0.01079249382019043,0.01079249382019043,3
garch_t,1,1314,chronos_bolt,,,,,1
garch_t,1,1314,chronos_2,,,,,34
garch_t,1,1331,chronos_base,50.0,3.0,0.03829285502433777,0.010940790176391602,3
garch_t,1,1331,chronos_bolt,,,,,1
garch_t,1,1331,chronos_2,,,,,34
garch_t,1,1348,chronos_base,50.0,2.0,0.010808318853378296,0.010808289051055908,3
garch_t,1,1348,chronos_bolt,,,,,1
garch_t,1,1348,chronos_2,,,,,34
garch_t,1,1365,chronos_base,50.0,2.0,0.07481436431407928,0.01068773865699768,3
garch_t,1,1365,chronos_bolt,,,,,1
garch_t,1,1365,chronos_2,,,,,34
garch_t,1,1381,chronos_base,50.0,2.0,0.021194428205490112,0.010597199201583862,3
garch_t,1,1381,chronos_bolt,,,,,1
garch_t,1,1381,chronos_2,,,,,34
garch_t,1,1398,chronos_base,50.0,2.0,0.010269463062286377,0.01026943325996399,3
garch_t,1,1398,chronos_bolt,,,,,1
garch_t,1,1398,chronos_2,,,,,34
garch_t,1,1415,chronos_base,50.0,2.0,0.01003032922744751,0.01003032922744751,3
garch_t,1,1415,chronos_bolt,,,,,1
garch_t,1,1415,chronos_2,,,,,34
garch_t,1,1432,chronos_base,50.0,2.0,0.009843319654464722,0.009843304753303528,3
garch_t,1,1432,chronos_bolt,,,,,1
garch_t,1,1432,chronos_2,,,,,34
garch_t,1,1448,chronos_base,50.0,2.0,0.009889870882034302,0.009889841079711914,3
garch_t,1,1448,chronos_bolt,,,,,1
garch_t,1,1448,chronos_2,,,,,34
garch_t,1,1465,chronos_base,50.0,2.0,0.01005709171295166,0.010057061910629272,3
garch_t,1,1465,chronos_bolt,,,,,1
garch_t,1,1465,chronos_2,,,,,34
garch_t,1,1482,chronos_base,50.0,2.0,0.010106593370437622,0.010106533765792847,3
garch_t,1,1482,chronos_bolt,,,,,1
garch_t,1,1482,chronos_2,,,,,34
garch_t,1,1499,chronos_base,50.0,2.0,0.010148316621780396,0.010148286819458008,3
garch_t,1,1499,chronos_bolt,,,,,1
garch_t,1,1499,chronos_2,,,,,34
garch_t,2,512,chronos_base,50.0,2.0,0.011517465114593506,0.011517465114593506,3
garch_t,2,512,chronos_bolt,,,,,1
garch_t,2,512,chronos_2,,,,,34
garch_t,2,528,chronos_base,50.0,2.0,0.011470913887023926,0.01147085428237915,3
garch_t,2,528,chronos_bolt,,,,,1
garch_t,2,528,chronos_2,,,,,34
garch_t,2,545,chronos_base,50.0,2.0,0.011516153812408447,0.011516064405441284,3
garch_t,2,545,chronos_bolt,,,,,1
garch_t,2,545,chronos_2,,,,,34
garch_t,2,562,chronos_base,50.0,3.0,0.03472188115119934,0.011573940515518188,3
garch_t,2,562,chronos_bolt,,,,,1
garch_t,2,562,chronos_2,,,,,34
garch_t,2,578,chronos_base,50.0,2.0,0.011496663093566895,0.01149660348892212,3
garch_t,2,578,chronos_bolt,,,,,1
garch_t,2,578,chronos_2,,,,,34
garch_t,2,595,chronos_base,50.0,1.0,,0.011233478784561157,3
garch_t,2,595,chronos_bolt,,,,,1
garch_t,2,595,chronos_2,,,,,34
garch_t,2,612,chronos_base,50.0,2.0,0.010872185230255127,0.01087215542793274,3
garch_t,2,612,chronos_bolt,,,,,1
garch_t,2,612,chronos_2,,,,,34
garch_t,2,629,chronos_base,50.0,2.0,0.02126491069793701,0.010632425546646118,3
garch_t,2,629,chronos_bolt,,,,,1
garch_t,2,629,chronos_2,,,,,34
garch_t,2,645,chronos_base,50.0,2.0,0.01068180799484253,0.010681748390197754,3
garch_t,2,645,chronos_bolt,,,,,1
garch_t,2,645,chronos_2,,,,,34
garch_t,2,662,chronos_base,50.0,2.0,0.06459009647369385,0.010764986276626587,3
garch_t,2,662,chronos_bolt,,,,,1
garch_t,2,662,chronos_2,,,,,34
garch_t,2,679,chronos_base,50.0,2.0,0.01074308156967163,0.01074308156967163,3
garch_t,2,679,chronos_bolt,,,,,1
garch_t,2,679,chronos_2,,,,,34
garch_t,2,696,chronos_base,50.0,2.0,0.020650416612625122,0.010325193405151367,3
garch_t,2,696,chronos_bolt,,,,,1
garch_t,2,696,chronos_2,,,,,34
garch_t,2,712,chronos_base,50.0,2.0,0.010240435600280762,0.010240405797958374,3
garch_t,2,712,chronos_bolt,,,,,1
garch_t,2,712,chronos_2,,,,,34
garch_t,2,729,chronos_base,50.0,2.0,0.058867305517196655,0.009811192750930786,3
garch_t,2,729,chronos_bolt,,,,,1
garch_t,2,729,chronos_2,,,,,34
garch_t,2,746,chronos_base,50.0,1.0,,0.009020864963531494,3
garch_t,2,746,chronos_bolt,,,,,1
garch_t,2,746,chronos_2,,,,,34
garch_t,2,762,chronos_base,50.0,2.0,0.016872644424438477,0.00843629240989685,3
garch_t,2,762,chronos_bolt,,,,,1
garch_t,2,762,chronos_2,,,,,34
garch_t,2,779,chronos_base,50.0,2.0,0.00817650556564331,0.00817650556564331,3
garch_t,2,779,chronos_bolt,,,,,1
garch_t,2,779,chronos_2,,,,,34
garch_t,2,796,chronos_base,50.0,2.0,0.00813552737236023,0.008135497570037842,3
garch_t,2,796,chronos_bolt,,,,,1
garch_t,2,796,chronos_2,,,,,34
garch_t,2,813,chronos_base,50.0,3.0,0.164677232503891,0.00844496488571167,3
garch_t,2,813,chronos_bolt,,,,,1
garch_t,2,813,chronos_2,,,,,34
garch_t,2,829,chronos_base,50.0,2.0,0.01723882555961609,0.00861939787864685,3
garch_t,2,829,chronos_bolt,,,,,1
garch_t,2,829,chronos_2,,,,,34
garch_t,2,846,chronos_base,50.0,2.0,0.29586599860340357,0.009245753288269043,3
garch_t,2,846,chronos_bolt,,,,,1
garch_t,2,846,chronos_2,,,,,34
garch_t,2,863,chronos_base,50.0,2.0,0.009841740131378174,0.009841740131378174,3
garch_t,2,863,chronos_bolt,,,,,1
garch_t,2,863,chronos_2,,,,,34
garch_t,2,880,chronos_base,50.0,2.0,0.021436721086502075,0.010718345642089844,3
garch_t,2,880,chronos_bolt,,,,,1
garch_t,2,880,chronos_2,,,,,34
garch_t,2,896,chronos_base,50.0,2.0,0.01077800989151001,0.010777950286865234,3
garch_t,2,896,chronos_bolt,,,,,1
garch_t,2,896,chronos_2,,,,,34
garch_t,2,913,chronos_base,50.0,2.0,0.022169142961502075,0.011084556579589844,3
garch_t,2,913,chronos_bolt,,,,,1
garch_t,2,913,chronos_2,,,,,34
garch_t,2,930,chronos_base,50.0,3.0,0.045562952756881714,0.01139068603515625,3
garch_t,2,930,chronos_bolt,,,,,1
garch_t,2,930,chronos_2,,,,,34
garch_t,2,946,chronos_base,50.0,3.0,0.01703236997127533,0.011354893445968628,3
garch_t,2,946,chronos_bolt,,,,,1
garch_t,2,946,chronos_2,,,,,34
garch_t,2,963,chronos_base,50.0,2.0,0.011522829532623291,0.011522740125656128,3
garch_t,2,963,chronos_bolt,,,,,1
garch_t,2,963,chronos_2,,,,,34
garch_t,2,980,chronos_base,50.0,2.0,0.03505522012710571,0.011685013771057129,3
garch_t,2,980,chronos_bolt,,,,,1
garch_t,2,980,chronos_2,,,,,34
garch_t,2,997,chronos_base,50.0,2.0,0.05920153856277466,0.011840283870697021,3
garch_t,2,997,chronos_bolt,,,,,1
garch_t,2,997,chronos_2,,,,,34
garch_t,2,1013,chronos_base,50.0,2.0,0.012527018785476685,0.012527018785476685,3
garch_t,2,1013,chronos_bolt,,,,,1
garch_t,2,1013,chronos_2,,,,,34
garch_t,2,1030,chronos_base,50.0,2.0,0.06746524572372437,0.01349303126335144,3
garch_t,2,1030,chronos_bolt,,,,,1
garch_t,2,1030,chronos_2,,,,,34
garch_t,2,1047,chronos_base,50.0,2.0,0.11689698696136475,0.014612078666687012,3
garch_t,2,1047,chronos_bolt,,,,,1
garch_t,2,1047,chronos_2,,,,,34
garch_t,2,1064,chronos_base,50.0,3.0,0.030379652976989746,0.015189796686172485,3
garch_t,2,1064,chronos_bolt,,,,,1
garch_t,2,1064,chronos_2,,,,,34
garch_t,2,1080,chronos_base,50.0,2.0,0.01585465669631958,0.01585453748703003,3
garch_t,2,1080,chronos_bolt,,,,,1
garch_t,2,1080,chronos_2,,,,,34
garch_t,2,1097,chronos_base,50.0,2.0,0.12995025515556335,0.01624375581741333,3
garch_t,2,1097,chronos_bolt,,,,,1
garch_t,2,1097,chronos_2,,,,,34
garch_t,2,1114,chronos_base,50.0,1.0,,0.01664912700653076,3
garch_t,2,1114,chronos_bolt,,,,,1
garch_t,2,1114,chronos_2,,,,,34
garch_t,2,1130,chronos_base,50.0,2.0,0.016604602336883545,0.016604572534561157,3
