"cell_id","forecaster","erule","asset","alpha","n","esr_p","esback_version"
"chronos_bolt.e2.amzn.a025","chronos_bolt","e2","amzn",0.025,2639,0.000840077225510605,"0.3.1"
"chronos_bolt.e3.amzn.a025","chronos_bolt","e3","amzn",0.025,2639,0.0410125483228632,"0.3.1"
"chronos_2.e1.amzn.a025","chronos_2","e1","amzn",0.025,2639,1.27078203515651e-09,"0.3.1"
"chronos_2.e2.amzn.a025","chronos_2","e2","amzn",0.025,2639,0.000349660403693108,"0.3.1"
"chronos_2.e3.amzn.a025","chronos_2","e3","amzn",0.025,2639,0.0102711621633268,"0.3.1"
"timesfm_2_5.e1.amzn.a025","timesfm_2_5","e1","amzn",0.025,2639,8.32667268468867e-15,"0.3.1"
"timesfm_2_5.e2.amzn.a025","timesfm_2_5","e2","amzn",0.025,2639,0.08637037375431,"0.3.1"
"timesfm_2_5.e3.amzn.a025","timesfm_2_5","e3","amzn",0.025,2639,0.505060231569658,"0.3.1"
"moirai_2_0.e1.amzn.a025","moirai_2_0","e1","amzn",0.025,2639,8.30473689816813e-10,"0.3.1"
"moirai_2_0.e2.amzn.a025","moirai_2_0","e2","amzn",0.025,2639,9.32860410219893e-05,"0.3.1"
"moirai_2_0.e3.amzn.a025","moirai_2_0","e3","amzn",0.025,2639,0.685678196508009,"0.3.1"
"lag_llama.e1.amzn.a025","lag_llama","e1","amzn",0.025,2639,0,"0.3.1"
"lag_llama.e2.amzn.a025","lag_llama","e2","amzn",0.025,2639,0.00232781475671739,"0.3.1"
"lag_llama.e3.amzn.a025","lag_llama","e3","amzn",0.025,2639,0.000179116898638143,"0.3.1"
"garch_t.param.amzn.a025","garch_t","param","amzn",0.025,2639,0.686255070141174,"0.3.1"
"gjr_t.param.amzn.a025","gjr_t","param","amzn",0.025,2639,0.52225609769158,"0.3.1"
"ewma94.param.amzn.a025","ewma94","param","amzn",0.025,2639,0.00371149377860525,"0.3.1"
"hs250.param.amzn.a025","hs250","param","amzn",0.025,2639,0.00132614639899853,"0.3.1"
"hs500.param.amzn.a025","hs500","param","amzn",0.025,2639,0.0100144923951351,"0.3.1"
"fhs.param.amzn.a025","fhs","param","amzn",0.025,2639,0.022223348766642,"0.3.1"
"chronos_bolt.e1.amzn.a05","chronos_bolt","e1","amzn",0.05,2639,0,"0.3.1"
"chronos_bolt.e2.amzn.a05","chronos_bolt","e2","amzn",0.05,2639,0.00175903989400317,"0.3.1"
"chronos_bolt.e3.amzn.a05","chronos_bolt","e3","amzn",0.05,2639,0.00210637525504642,"0.3.1"
"chronos_2.e1.amzn.a05","chronos_2","e1","amzn",0.05,2639,9.37916411203332e-13,"0.3.1"
"chronos_2.e2.amzn.a05","chronos_2","e2","amzn",0.05,2639,0.00325374907196063,"0.3.1"
"chronos_2.e3.amzn.a05","chronos_2","e3","amzn",0.05,2639,0.00423859366313317,"0.3.1"
"timesfm_2_5.e1.amzn.a05","timesfm_2_5","e1","amzn",0.05,2639,1.11022302462516e-16,"0.3.1"
"timesfm_2_5.e2.amzn.a05","timesfm_2_5","e2","amzn",0.05,2639,0.246370587354647,"0.3.1"
