model,dgp,path,t,alpha,true_v,true_e,e2_v,e2_e,e3_v,e3_e
chronos_2,gjr_t,5,896,0.025,-3.0079346780419773,-3.8739241736898227,-2.5802864116699578,-3.262394346837671,-2.562368651495946,-3.439245183246347
chronos_2,gjr_t,5,896,0.05,-2.4255806581495656,-3.279051096578105,-2.101483717165058,-2.7886620497965167,-2.0854666237124495,-2.8656164780868463
chronos_2,gjr_t,5,913,0.01,-2.7012798508055176,-3.348915890949859,-3.540391505677977,-4.3050047403473855,-3.5862472815671977,-4.812623555439668
chronos_2,gjr_t,5,913,0.025,-2.1506127149161927,-2.7697777632530984,-2.857288200299881,-3.6108546840709286,-2.7891277425423975,-3.793835172014107
chronos_2,gjr_t,5,913,0.05,-1.734241319318452,-2.3444554938776974,-2.3271925902023085,-3.087202771544704,-2.2833416585149044,-3.1473963862631997
chronos_2,gjr_t,5,930,0.01,-3.74275677745986,-4.640088528501753,-3.085250391636098,-3.776071343659709,-3.0440289602881627,-3.9454956623593542
chronos_2,gjr_t,5,930,0.025,-2.979780237150795,-3.837664021512558,-2.4791738868347344,-3.152410156222536,-2.3766564647923785,-3.17005463354407
chronos_2,gjr_t,5,930,0.05,-2.402877084243791,-3.2483589904789554,-2.0133251172086313,-2.6865673919279547,-1.9254984647564286,-2.645840006679316
chronos_2,gjr_t,5,946,0.01,-3.0688497000627057,-3.8046111825148445,-2.9122046333849454,-3.5654992130281213,-2.888402656200467,-3.7313596706287213
chronos_2,gjr_t,5,946,0.025,-2.443251921178591,-3.146668293351733,-2.3407694580056666,-2.976258209619753,-2.2629641345950646,-3.005801620414648
chronos_2,gjr_t,5,946,0.05,-1.9702238370599523,-2.6634713678597426,-1.9022393672059208,-2.536843014171362,-1.8396841338840508,-2.5147634105804015
chronos_2,gjr_t,5,963,0.01,-2.7805356082340937,-3.4471733393303654,-3.508045936962792,-4.308835498092447,-3.5820040298086178,-4.612515687957651
chronos_2,gjr_t,5,963,0.025,-2.213711856460295,-2.8510432546719127,-2.816642880578188,-3.5894169790122206,-2.8031660103399663,-3.720922921643266
chronos_2,gjr_t,5,963,0.05,-1.7851240922697738,-2.4132419973824915,-2.2896520814033896,-3.0566894005232723,-2.271133733323506,-3.1118667151200294
chronos_2,gjr_t,5,980,0.01,-2.9929726520453737,-3.710542494375097,-3.0299948749497676,-3.7141354237636466,-2.9199958853156693,-3.8807066684766847
chronos_2,gjr_t,5,980,0.025,-2.3828427250755957,-3.0688671872290105,-2.4304738018392085,-3.0967242351319597,-2.268571478193434,-3.073762784051696
chronos_2,gjr_t,5,980,0.05,-1.9215102201348762,-2.597617264653661,-1.9699439932004195,-2.635840012441995,-1.8468168271145917,-2.551319454181181
chronos_2,gjr_t,5,997,0.01,-3.16703088528473,-3.9263314593992558,-2.77416724879554,-3.400523845389309,-2.5754347129140425,-3.397908284787855
chronos_2,gjr_t,5,997,0.025,-2.5214184633238124,-3.2473391155609557,-2.2260982335764847,-2.8355176680784218,-2.012109076492505,-2.705233330291684
chronos_2,gjr_t,5,997,0.05,-2.033256872360208,-2.748683353215706,-1.8054205804459857,-2.414093096837332,-1.6456185739398106,-2.2545902638912705
chronos_2,gjr_t,5,1013,0.01,-2.245425996328225,-2.783770366781189,-2.5429677872293523,-3.156902769088403,-2.5795203139548777,-3.2287172614825694
chronos_2,gjr_t,5,1013,0.025,-1.787686565191247,-2.302364559453459,-2.0217017859336672,-2.60813747771394,-2.0321962911668487,-2.6488850860453472
chronos_2,gjr_t,5,1013,0.05,-1.4415798278519687,-1.9488174509641056,-1.6278553854607432,-2.205430879598783,-1.6364448931848075,-2.2296281477963213
chronos_2,gjr_t,5,1030,0.01,-2.839439007399952,-3.520198919941231,-3.0504669534863935,-3.8049409560624325,-3.1470521722872578,-3.8943479409171755
chronos_2,gjr_t,5,1030,0.025,-2.2606075526467166,-2.911440301331467,-2.4197243241912654,-3.133676498953775,-2.4790561715887325,-3.214878029380886
chronos_2,gjr_t,5,1030,0.05,-1.8229405031282329,-2.464364578310671,-1.9469944845332336,-2.6451479980879866,-1.9805591403042555,-2.7078185059798883
chronos_2,gjr_t,5,1047,0.01,-2.609530223636351,-3.235169148151655,-2.5040749341583,-3.1410898226151707,-2.541562013943919,-3.1914342046110202
chronos_2,gjr_t,5,1047,0.025,-2.0775666309571426,-2.675701587826795,-1.9764144792373868,-2.5758809923031336,-1.9939673646768843,-2.6110938846724205
chronos_2,gjr_t,5,1047,0.05,-1.6753373910855505,-2.2648254927825353,-1.5828328902038793,-2.166554580544762,-1.5981352731091818,-2.191591387761893
chronos_2,gjr_t,5,1064,0.01,-2.3076808208351296,-2.8609508821644054,-2.732193653770508,-3.456038758592348,-2.7682530804119456,-3.4880630911448818
chronos_2,gjr_t,5,1064,0.025,-1.8372504847197997,-2.3661980154809896,-2.144178646213012,-2.8174661803344185,-2.170893100519972,-2.848184986963109
chronos_2,gjr_t,5,1064,0.05,-1.4815478781650817,-2.0028487521978824,-1.7099850208181895,-2.3597665403160835,-1.7425642869933085,-2.3893691332203897
chronos_2,gjr_t,5,1080,0.01,-4.587612985947954,-5.687500325294935,-4.439017303297123,-5.869061823154582,-4.548130027908481,-5.931661108695382
chronos_2,gjr_t,5,1080,0.025,-3.652408992630745,-4.703943736559054,-3.3878084836420674,-4.642862072284491,-3.4689287873348937,-4.723832624073702
chronos_2,gjr_t,5,1080,0.05,-2.945280917451173,-3.9816142949732094,-2.6502749876314144,-3.8083767911780138,-2.7197203940564316,-3.8853279927795317
chronos_2,gjr_t,5,1097,0.01,-4.613808271878167,-5.719975971716207,-4.14998508642414,-5.5317279606868555,-4.431040447765766,-5.648485645218728
chronos_2,gjr_t,5,1097,0.025,-3.6732642605422066,-4.730803271475411,-3.1553184322898966,-4.353729513162704,-3.407383481199303,-4.561993691195966
chronos_2,gjr_t,5,1097,0.05,-2.962098481620983,-4.004349326293445,-2.4647837627369564,-3.560496115563932,-2.6682665601474884,-3.777507663128933
chronos_2,gjr_t,5,1114,0.01,-3.5383020943926153,-4.386615517588487,-4.193190206308343,-5.471837756794112,-4.089776745554428,-4.986199605789244
chronos_2,gjr_t,5,1114,0.025,-2.817004491832346,-3.628024863028573,-3.2285219160807883,-4.367493786489706,-3.245299444124326,-4.157574331745654
chronos_2,gjr_t,5,1114,0.05,-2.2716156900577573,-3.0709116575700426,-2.54272310088835,-3.605885859392981,-2.5965700187154317,-3.5210224706130324
chronos_2,gjr_t,5,1130,0.01,-3.0623848956533153,-3.7965964312064844,-4.182102865467997,-5.465895716913939,-4.177813046252302,-5.075746701601123
chronos_2,gjr_t,5,1130,0.025,-2.4381049940439827,-3.140039557165229,-3.215543405472245,-4.357747227658428,-3.321631225046759,-4.242510290425433
chronos_2,gjr_t,5,1130,0.05,-1.966073385589797,-2.6578605289050445,-2.529118918817466,-3.594322688863597,-2.6594494053495166,-3.5980747402599054
chronos_2,gjr_t,5,1147,0.01,-2.5925228018636877,-3.214084170591268,-3.2933050341209347,-4.297858421704579,-3.21562372344368,-3.9061452039663926
chronos_2,gjr_t,5,1147,0.025,-2.0640262428698715,-2.658262899042979,-2.532568835209359,-3.429327237296865,-2.556758984376408,-3.265235808129535
chronos_2,gjr_t,5,1147,0.05,-1.6644185025577907,-2.2500646588024034,-1.9907120323194252,-2.829187069218482,-2.0469889533619314,-2.7693580001051705
chronos_2,gjr_t,5,1164,0.01,-2.397707163701771,-2.9725611805717667,-3.2849630869759077,-4.291326948943117,-3.2616395169881116,-3.9618182685316428
chronos_2,gjr_t,5,1164,0.025,-1.9089245830508812,-2.458507208289971,-2.5258678658582645,-3.422197546192548,-2.5935602414716374,-3.311945450252517
chronos_2,gjr_t,5,1164,0.05,-1.5393454453367699,-2.0809831054617534,-1.9862687066805047,-2.822865661270865,-2.076660834345543,-2.8091325554562308
chronos_2,gjr_t,5,1181,0.01,-2.2144613407736222,-2.745381886959791,-2.840352730299192,-3.710841047288077,-2.73087498571867,-3.3172677955143794
chronos_2,gjr_t,5,1181,0.025,-1.7630341834956331,-2.270614715254105,-2.1819950999359476,-2.9584955099740435,-2.17136517101383,-2.773005709467827
chronos_2,gjr_t,5,1181,0.05,-1.4217002936803271,-1.9219430577725338,-1.7133694093087657,-2.4389836988872307,-1.73846700742601,-2.3519048612471027
chronos_2,gjr_t,5,1197,0.01,-2.3278579675559237,-2.8859655311527894,-2.284039251217206,-2.9972831598379828,-2.1726556694703163,-2.654092254574332
chronos_2,gjr_t,5,1197,0.025,-1.853314436137321,-2.386886805758119,-1.7455675070844823,-2.3811492454793886,-1.7182787767082235,-2.2088049861668915
