forecaster,asset,alpha,erule,group,n,n_alpha,hit_rate,kupiec_stat,kupiec_p_asym,kupiec_p_mc,cc_stat,cc_p_asym,cc_p_mc,dq_p_asym,qs_mean,sigma_tail,prec_floor,fz0_mean,z2,dq_p_mc,es_viol,context_model
chronos_bolt+F2g05,aapl,0.025,e3,equity_single,2139,53.475,0.0341280972417017,6.575166320894823,0.0103411339560991,0.0131986801319868,7.410276547653211,0.0245968160366105,0.0206979302069793,0.047144521140833,0.1329382928549511,1.3142809788768737,0.1797267934115194,1.658188771495157,0.4573827858651897,0.0564943505649435,,
chronos_bolt+F2,aapl,0.025,e3,equity_single,2139,53.475,0.0331930808789153,5.349797951267988,0.0207246721787415,0.0212978702129787,6.374464094161112,0.0412859906055031,0.0352964703529647,0.0636078266837648,0.1325602008462092,1.3150047031560954,0.1798257620842074,1.651082688142649,0.4138836851440413,0.0668933106689331,,
chronos_bolt+F2g20,aapl,0.025,e3,equity_single,2139,53.475,0.0313230481533426,3.252003086147738,0.0713362298885675,0.0688931106889311,4.721729784860031,0.0943385951648411,0.0836916308369163,0.3132436350131585,0.132237091655378,1.312454250222345,0.1794769898392331,1.6445948498942615,0.3381877843059642,0.2371762823717628,,
chronos_bolt+F3,aapl,0.025,e3,equity_single,2139,53.475,0.0275829827021972,0.5667861391468705,0.4515388528310337,0.4872512748725127,3.215517896661254,0.2003360748705692,0.225977402259774,0.1726852451254146,0.1338099729879528,1.2065469153823656,0.1649942528937319,1.6605802060748054,0.1860870828105867,0.2543745625437456,,
chronos_bolt+F4,aapl,0.025,e3,equity_single,2139,53.475,0.024310425432445,0.0421071724483113,0.8374156173076726,0.8889111088891111,1.8756360760004327,0.391481101009414,0.4852514748525147,0.7048181521310488,0.1322305745244417,1.2791229271464222,0.1749189600778055,1.638059567502086,0.0296524840027463,0.6885311468853115,,
chronos_bolt+F2g05,aapl,0.025,e2,equity_single,2139,53.475,0.0317905563347358,3.7313067803530657,0.0534015992280031,0.05999400059994,6.689474605425971,0.0352694791372334,0.0283971602839716,0.0007154702250177,0.1343735399164109,1.2935450216691116,0.1768911690989357,1.6685668361107573,0.2451321726778446,0.0092990700929907,,
chronos_bolt+F2,aapl,0.025,e2,equity_single,2139,53.475,0.0313230481533426,3.252003086147738,0.0713362298885675,0.0688931106889311,6.395417347699549,0.0408557105684196,0.034996500349965,0.0024214750021891,0.1341954454679406,1.2901349821034285,0.1764248491213991,1.6650202056841703,0.2224710717790889,0.0181981801819818,,
chronos_bolt+F2g20,aapl,0.025,e2,equity_single,2139,53.475,0.0308555399719495,2.8035164976047326,0.0940578110968169,0.0944905509449055,6.139043060034396,0.0464433713011244,0.0361963803619638,0.0047816797795377,0.1339867408334387,1.2826483649847653,0.175401060669871,1.6606933174700729,0.1970540643497702,0.0253974602539746,,
chronos_bolt+F3,aapl,0.025,e2,equity_single,2139,53.475,0.0299205236091631,2.000816035807929,0.1572145473132568,0.1635836416358364,5.741772556334354,0.0566486978207309,0.0497950204979502,0.0058239072027084,0.1362003627525752,1.1993071727271114,0.1640042243127313,1.686731262816288,0.1449004450239379,0.0515948405159484,,
chronos_bolt+F4,aapl,0.025,e2,equity_single,2139,53.475,0.0289855072463768,1.3269913492988508,0.2493411659204267,0.2651734826517348,3.4855871492580945,0.1750307555274376,0.180981901809819,0.1904464251094943,0.1339296559717956,1.2531522899203564,0.1713674977752137,1.6589007235581343,0.1641471277756956,0.2826717328267173,,
garch_evt,aapl,0.025,param,equity_single,2139,53.475,0.0252454417952314,0.00526966440475,0.9421304315660624,0.9437056294370564,1.5667738930945916,0.4568560409630179,0.5356464353564644,0.3038296377547342,0.1283111387356981,1.2265090487388397,0.1677240574602395,1.5883246401629745,0.0662459626567564,0.7421257874212579,,chronos_bolt
zero_loc,aapl,0.025,param,equity_single,2139,53.475,0.0247779336138382,0.0043399878426271,0.9474744909516112,1.0,1.698585605599476,0.4277173054982126,0.5107489251074893,0.3152495231345675,0.1282190380640104,1.236630688883308,0.1691081830440893,1.588329093423778,0.0536844747667648,0.7102289771022897,,chronos_bolt
const_loc,aapl,0.025,param,equity_single,2139,53.475,0.0247779336138382,0.0043399878426271,0.9474744909516112,1.0,1.698585605599476,0.4277173054982126,0.5107489251074893,0.3281307314230716,0.1282336016938654,1.232102829528171,0.168489002171813,1.587990153863276,0.0528846628294612,0.7102289771022897,,chronos_bolt
fhs,aapl,0.025,param,equity_single,2139,53.475,0.0271154745208041,0.3823607269910098,0.5363425153541052,0.5803419658034197,0.4953316081065395,0.7806207799909268,0.7551244875512448,0.5246914268197083,0.1323264390952714,1.245232728703704,0.1702845045906729,1.627475224124719,0.1019050500741132,0.8311168883111689,,chronos_bolt
gjr_t,aapl,0.025,param,equity_single,2139,53.475,0.0285179990649836,1.0396567747434349,0.307901310452627,0.3285671432856714,1.8421396971493775,0.3980929140427722,0.4890510948905109,0.5777224267461951,0.1269053286511647,1.281232226353535,0.1752074049301108,1.5684686135868402,0.1650686643326075,0.5694430556944305,,chronos_bolt
chronos_bolt+unrepaired,aapl,0.05,e3,equity_single,2139,106.95,0.0677886863020102,12.884941876517589,0.0003312364302417,0.0004999500049995,13.964545795665344,0.0009281911202543,0.0007999200079992,5.6915917392899e-06,0.2181535203113344,1.3716441085998243,0.1326328335776581,1.445381251576738,0.4180955932744346,9.999000099990002e-05,,
chronos_bolt+unrepaired,aapl,0.05,e2,equity_single,2139,106.95,0.0635811126694717,7.6771078661557794,0.0055925727630237,0.005999400059994,9.016289187234747,0.0110188857320101,0.0142985701429857,0.0002929120101953,0.2200414498561847,1.3528723119684225,0.130817671347925,1.4542478499057352,0.2554892632347705,0.003999600039996,,
chronos_bolt+F1,aapl,0.05,e3,equity_single,2139,106.95,0.0556334735857877,1.3809675343786694,0.2399364097867418,0.2546745325467453,4.143403941784982,0.125971199835377,0.1288871112888711,0.0007078503656106,0.2193736893392528,1.2610989892554192,0.1219435357307146,1.4348627257423452,0.1041972270641597,0.0201979802019798,,
chronos_bolt+H,aapl,0.05,e3,equity_single,2139,106.95,0.0542309490416082,0.7854366193990927,0.3754835683347339,0.4021597840215978,0.8712575741435558,0.646857803352088,0.6574342565743425,0.1790504897518371,0.2118402838390226,1.2397788350523071,0.1198819568951099,1.3913700053724736,0.1004013073595428,0.7194280571942806,,
chronos_bolt+X4,aapl,0.05,e3,equity_single,2139,106.95,0.0561009817671809,1.6152619502845482,0.2037537086270971,0.2158784121587841,4.212436896487247,0.1216973020315764,0.1247875212478752,0.0010289268559226,0.2190666353071886,1.297137973266248,0.1254283701266393,1.432624173515218,0.1103497305811431,0.0200979902009799,,
chronos_bolt+F2g05,aapl,0.05,e3,equity_single,2139,106.95,0.0607760635811126,4.90743946354246,0.0267412545184635,0.0296970302969703,6.149935108483874,0.0461911270635004,0.045995400459954,0.0005567228817429,0.2171799755817429,1.3785687415694925,0.1333024195777686,1.4329197522524726,0.284297425305116,0.0031996800319968,,
