episode,layer,alpha,t,daily_rate,trail21,trail10,band21,band10,disp_lo21,disp_hi21
vix_ep14,chronos_bolt:e3,0.05,40,0.0435,0.0311,0.0217,0.0772,0.09197,0.0186,0.0455
vix_ep14,chronos_bolt:e3,0.05,41,0.0435,0.0269,0.0217,0.0772,0.09197,0.0166,0.0373
vix_ep14,chronos_bolt:e3,0.05,42,0.0,0.0248,0.0174,0.0772,0.09197,0.0145,0.0352
vix_ep14,chronos_bolt:e3,0.05,43,0.0,0.0248,0.0174,0.0772,0.09197,0.0145,0.0352
vix_ep14,chronos_bolt:e3,0.05,44,0.0,0.0228,0.0174,0.0772,0.09197,0.0124,0.0331
vix_ep14,chronos_bolt:e3,0.05,45,0.087,0.0248,0.0261,0.0772,0.09197,0.0145,0.0373
vix_ep14,chronos_bolt:e3,0.05,46,0.0435,0.0248,0.0217,0.0772,0.09197,0.0145,0.0373
vix_ep14,chronos_bolt:e3,0.05,47,0.1304,0.0269,0.0348,0.0772,0.09197,0.0145,0.0414
vix_ep14,chronos_bolt:e3,0.05,48,0.0,0.0269,0.0348,0.0772,0.09197,0.0145,0.0414
vix_ep14,chronos_bolt:e3,0.05,49,0.0435,0.029,0.0391,0.0772,0.09197,0.0166,0.0414
vix_ep14,chronos_bolt:e3,0.05,50,0.0,0.0269,0.0348,0.0772,0.09197,0.0145,0.0414
vix_ep14,chronos_bolt:e3,0.05,51,0.0,0.0269,0.0304,0.0772,0.09197,0.0145,0.0414
vix_ep14,chronos_bolt:e3,0.05,52,0.0,0.0248,0.0304,0.0772,0.09197,0.0124,0.0373
vix_ep14,chronos_bolt:e3,0.05,53,0.0,0.0228,0.0304,0.0772,0.09197,0.0104,0.0352
vix_ep14,chronos_bolt:e3,0.05,54,0.087,0.0269,0.0391,0.0772,0.09197,0.0145,0.0414
vix_ep14,chronos_bolt:e3,0.05,55,0.0,0.0269,0.0304,0.0772,0.09197,0.0124,0.0414
vix_ep14,chronos_bolt:e3,0.05,56,0.0,0.0269,0.0261,0.0772,0.09197,0.0145,0.0414
vix_ep14,chronos_bolt:e3,0.05,57,0.1304,0.029,0.0261,0.0772,0.09197,0.0145,0.0455
vix_ep14,chronos_bolt:e3,0.05,58,0.0,0.029,0.0261,0.0772,0.09197,0.0145,0.0455
vix_ep14,chronos_bolt:e3,0.05,59,0.0,0.029,0.0217,0.0772,0.09197,0.0145,0.0455
vix_ep14,chronos_bolt:e3,0.05,60,0.0,0.029,0.0217,0.0772,0.09197,0.0145,0.0455
vix_ep14,chronos_bolt:e3,0.01,1,0.0435,,,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,2,0.087,,,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,3,0.0435,,,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,4,0.1304,,,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,5,0.0,,,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,6,0.0435,,,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,7,0.0,,,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,8,0.0435,,,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,9,0.0,,,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,10,0.0435,,0.0435,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,11,0.0,,0.0391,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,12,0.0435,,0.0348,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,13,0.0,,0.0304,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,14,0.0,,0.0174,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,15,0.2609,,0.0435,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,16,0.0,,0.0391,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,17,0.0435,,0.0435,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,18,0.0435,,0.0435,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,19,0.0435,,0.0478,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,20,0.0,,0.0435,0.01984,0.02507,,
vix_ep14,chronos_bolt:e3,0.01,21,0.0435,0.0435,0.0478,0.01984,0.02507,0.0248,0.0663
vix_ep14,chronos_bolt:e3,0.01,22,0.0,0.0414,0.0435,0.01984,0.02507,0.0228,0.0642
vix_ep14,chronos_bolt:e3,0.01,23,0.0,0.0373,0.0435,0.01984,0.02507,0.0186,0.06
vix_ep14,chronos_bolt:e3,0.01,24,0.0,0.0352,0.0435,0.01984,0.02507,0.0166,0.058
vix_ep14,chronos_bolt:e3,0.01,25,0.0435,0.0311,0.0217,0.01984,0.02507,0.0145,0.0538
vix_ep14,chronos_bolt:e3,0.01,26,0.0,0.0311,0.0217,0.01984,0.02507,0.0145,0.0538
vix_ep14,chronos_bolt:e3,0.01,27,0.0,0.029,0.0174,0.01984,0.02507,0.0124,0.0518
vix_ep14,chronos_bolt:e3,0.01,28,0.0,0.029,0.013,0.01984,0.02507,0.0124,0.0518
vix_ep14,chronos_bolt:e3,0.01,29,0.0,0.0269,0.0087,0.01984,0.02507,0.0104,0.0497
vix_ep14,chronos_bolt:e3,0.01,30,0.0,0.0269,0.0087,0.01984,0.02507,0.0104,0.0497
vix_ep14,chronos_bolt:e3,0.01,31,0.0,0.0248,0.0043,0.01984,0.02507,0.0083,0.0476
vix_ep14,chronos_bolt:e3,0.01,32,0.0,0.0248,0.0043,0.01984,0.02507,0.0083,0.0476
vix_ep14,chronos_bolt:e3,0.01,33,0.0,0.0228,0.0043,0.01984,0.02507,0.0062,0.0455
vix_ep14,chronos_bolt:e3,0.01,34,0.0,0.0228,0.0043,0.01984,0.02507,0.0062,0.0455
vix_ep14,chronos_bolt:e3,0.01,35,0.0,0.0228,0.0,0.01984,0.02507,0.0062,0.0455
vix_ep14,chronos_bolt:e3,0.01,36,0.0,0.0104,0.0,0.01984,0.02507,0.0041,0.0166
vix_ep14,chronos_bolt:e3,0.01,37,0.0,0.0104,0.0,0.01984,0.02507,0.0041,0.0166
vix_ep14,chronos_bolt:e3,0.01,38,0.0,0.0083,0.0,0.01984,0.02507,0.0021,0.0145
vix_ep14,chronos_bolt:e3,0.01,39,0.0,0.0062,0.0,0.01984,0.02507,0.0021,0.0124
vix_ep14,chronos_bolt:e3,0.01,40,0.0,0.0041,0.0,0.01984,0.02507,0.0,0.0083
vix_ep14,chronos_bolt:e3,0.01,41,0.0,0.0041,0.0,0.01984,0.02507,0.0,0.0083
vix_ep14,chronos_bolt:e3,0.01,42,0.0,0.0021,0.0,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,43,0.0,0.0021,0.0,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,44,0.0,0.0021,0.0,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,45,0.0435,0.0041,0.0043,0.01984,0.02507,0.0,0.0083
vix_ep14,chronos_bolt:e3,0.01,46,0.0,0.0021,0.0043,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,47,0.0,0.0021,0.0043,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,48,0.0,0.0021,0.0043,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,49,0.0,0.0021,0.0043,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,50,0.0,0.0021,0.0043,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,51,0.0,0.0021,0.0043,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,52,0.0,0.0021,0.0043,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,53,0.0,0.0021,0.0043,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,54,0.0,0.0021,0.0043,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,55,0.0,0.0021,0.0,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,56,0.0,0.0021,0.0,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,57,0.0,0.0021,0.0,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,58,0.0,0.0021,0.0,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,59,0.0,0.0021,0.0,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_bolt:e3,0.01,60,0.0,0.0021,0.0,0.01984,0.02507,0.0,0.0062
vix_ep14,chronos_2:e3,0.025,1,0.1739,,,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,2,0.1304,,,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,3,0.0,,,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,4,0.1304,,,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,5,0.0,,,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,6,0.0435,,,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,7,0.0,,,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,8,0.1304,,,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,9,0.0,,,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,10,0.0435,,0.0652,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,11,0.0,,0.0478,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,12,0.1304,,0.0478,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,13,0.0,,0.0478,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,14,0.0,,0.0348,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,15,0.3043,,0.0652,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,16,0.0,,0.0609,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,17,0.0435,,0.0652,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,18,0.0435,,0.0565,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,19,0.0435,,0.0609,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,20,0.0,,0.0565,0.04191,0.04886,,
vix_ep14,chronos_2:e3,0.025,21,0.0435,0.06,0.0609,0.04191,0.04886,0.0352,0.089
vix_ep14,chronos_2:e3,0.025,22,0.0,0.0518,0.0478,0.04191,0.04886,0.0269,0.0807
vix_ep14,chronos_2:e3,0.025,23,0.0,0.0455,0.0478,0.04191,0.04886,0.0207,0.0725
vix_ep14,chronos_2:e3,0.025,24,0.0,0.0455,0.0478,0.04191,0.04886,0.0228,0.0745
vix_ep14,chronos_2:e3,0.025,25,0.0435,0.0414,0.0217,0.04191,0.04886,0.0186,0.0704
vix_ep14,chronos_2:e3,0.025,26,0.0,0.0414,0.0217,0.04191,0.04886,0.0207,0.0683
vix_ep14,chronos_2:e3,0.025,27,0.0,0.0393,0.0174,0.04191,0.04886,0.0166,0.0683
vix_ep14,chronos_2:e3,0.025,28,0.0,0.0393,0.013,0.04191,0.04886,0.0166,0.0683
vix_ep14,chronos_2:e3,0.025,29,0.0,0.0331,0.0087,0.04191,0.04886,0.0124,0.06
