episode,index,onset,layer,alpha,window,n_assets,n_calm_days,band,mde_mult,dep_uncalibrated,direction_only,descriptive_only,tau_rec,ever_above,censored,onset_rate,post_cutoff
vix_ep15,vix,2018-02-05,fhs,0.01,10,24,252,0.02608,2.61,False,False,True,12.0,True,False,0.417,False
vix_ep15,vix,2018-02-05,chronos_bolt:f1,0.025,21,23,345,0.04146,1.66,False,False,False,25.0,True,False,0.609,False
vix_ep15,vix,2018-02-05,chronos_bolt:f1,0.025,10,23,345,0.05179,2.07,False,True,False,14.0,True,False,0.609,False
vix_ep15,vix,2018-02-05,chronos_bolt:f1,0.05,21,23,345,0.0742,1.48,False,False,False,26.0,True,False,0.696,False
vix_ep15,vix,2018-02-05,chronos_bolt:f1,0.05,10,23,345,0.09318,1.86,False,False,False,14.0,True,False,0.696,False
vix_ep15,vix,2018-02-05,chronos_bolt:f1,0.01,21,23,345,0.02056,2.06,False,False,True,25.0,True,False,0.435,False
vix_ep15,vix,2018-02-05,chronos_bolt:f1,0.01,10,23,345,0.02425,2.42,False,False,True,14.0,True,False,0.435,False
vix_ep15,vix,2018-02-05,chronos_2:f1,0.025,21,23,345,0.04137,1.65,False,False,False,23.0,True,False,0.565,False
vix_ep15,vix,2018-02-05,chronos_2:f1,0.025,10,23,345,0.05404,2.16,False,True,False,14.0,True,False,0.565,False
vix_ep15,vix,2018-02-05,chronos_2:f1,0.05,21,23,345,0.074,1.48,False,False,False,25.0,True,False,0.652,False
vix_ep15,vix,2018-02-05,chronos_2:f1,0.05,10,23,345,0.08771,1.75,False,False,False,13.0,True,False,0.652,False
vix_ep15,vix,2018-02-05,chronos_2:f1,0.01,21,23,345,0.01868,1.87,False,False,True,22.0,True,False,0.435,False
vix_ep15,vix,2018-02-05,chronos_2:f1,0.01,10,23,345,0.0252,2.52,False,False,True,12.0,True,False,0.435,False
vix_ep15,vix,2018-02-05,timesfm_2_5:f1,0.025,21,23,345,0.04072,1.63,False,False,False,26.0,True,False,0.609,False
vix_ep15,vix,2018-02-05,timesfm_2_5:f1,0.025,10,23,345,0.04898,1.96,False,True,False,14.0,True,False,0.609,False
vix_ep15,vix,2018-02-05,timesfm_2_5:f1,0.05,21,23,345,0.07517,1.5,False,False,False,60.0,True,False,0.652,False
vix_ep15,vix,2018-02-05,timesfm_2_5:f1,0.05,10,23,345,0.08723,1.74,False,False,False,14.0,True,False,0.652,False
vix_ep15,vix,2018-02-05,timesfm_2_5:f1,0.01,21,23,345,0.02167,2.17,False,False,True,25.0,True,False,0.522,False
vix_ep15,vix,2018-02-05,timesfm_2_5:f1,0.01,10,23,345,0.02903,2.9,False,False,True,14.0,True,False,0.522,False
vix_ep15,vix,2018-02-05,moirai_2_0:f1,0.025,21,23,345,0.04074,1.63,False,False,False,25.0,True,False,0.609,False
vix_ep15,vix,2018-02-05,moirai_2_0:f1,0.025,10,23,345,0.04585,1.83,False,True,False,14.0,True,False,0.609,False
vix_ep15,vix,2018-02-05,moirai_2_0:f1,0.05,21,23,345,0.07363,1.47,False,False,False,60.0,True,False,0.609,False
vix_ep15,vix,2018-02-05,moirai_2_0:f1,0.05,10,23,345,0.08596,1.72,False,False,False,14.0,True,False,0.609,False
vix_ep15,vix,2018-02-05,moirai_2_0:f1,0.01,21,23,345,0.01924,1.92,False,False,True,25.0,True,False,0.478,False
vix_ep15,vix,2018-02-05,moirai_2_0:f1,0.01,10,23,345,0.02334,2.33,False,False,True,14.0,True,False,0.478,False
vix_ep15,vix,2018-02-05,lag_llama:f1,0.025,21,23,345,0.03823,1.53,False,False,False,61.0,True,True,0.522,False
vix_ep15,vix,2018-02-05,lag_llama:f1,0.025,10,23,345,0.04693,1.88,False,True,False,14.0,True,False,0.522,False
vix_ep15,vix,2018-02-05,lag_llama:f1,0.05,21,23,345,0.06934,1.39,False,False,False,61.0,True,True,0.565,False
vix_ep15,vix,2018-02-05,lag_llama:f1,0.05,10,23,345,0.07856,1.57,False,False,False,14.0,True,False,0.565,False
vix_ep15,vix,2018-02-05,lag_llama:f1,0.01,21,23,345,0.01815,1.81,False,False,True,25.0,True,False,0.435,False
vix_ep15,vix,2018-02-05,lag_llama:f1,0.01,10,23,345,0.02597,2.6,False,False,True,14.0,True,False,0.435,False
vix_ep16,vix,2018-12-18,chronos_bolt:e3,0.025,21,24,252,0.04127,1.65,False,False,False,24.0,True,False,0.083,False
vix_ep16,vix,2018-12-18,chronos_bolt:e3,0.025,10,24,252,0.04956,1.98,False,True,False,15.0,True,False,0.083,False
vix_ep16,vix,2018-12-18,chronos_bolt:e3,0.05,21,24,252,0.07788,1.56,False,False,False,24.0,True,False,0.125,False
vix_ep16,vix,2018-12-18,chronos_bolt:e3,0.05,10,24,252,0.09222,1.84,False,False,False,15.0,True,False,0.125,False
vix_ep16,vix,2018-12-18,chronos_bolt:e3,0.01,21,24,252,0.01947,1.95,False,False,True,,False,False,0.042,False
vix_ep16,vix,2018-12-18,chronos_bolt:e3,0.01,10,24,252,0.02457,2.46,False,False,True,15.0,True,False,0.042,False
vix_ep16,vix,2018-12-18,chronos_2:e3,0.025,21,24,252,0.04058,1.62,False,False,False,,False,False,0.083,False
vix_ep16,vix,2018-12-18,chronos_2:e3,0.025,10,24,252,0.04727,1.89,False,True,False,15.0,True,False,0.083,False
vix_ep16,vix,2018-12-18,chronos_2:e3,0.05,21,24,252,0.07507,1.5,False,False,False,,False,False,0.125,False
vix_ep16,vix,2018-12-18,chronos_2:e3,0.05,10,24,252,0.08555,1.71,False,False,False,13.0,True,False,0.125,False
vix_ep16,vix,2018-12-18,chronos_2:e3,0.01,21,24,252,0.01832,1.83,False,False,True,,False,False,0.0,False
vix_ep16,vix,2018-12-18,chronos_2:e3,0.01,10,24,252,0.02165,2.16,False,False,True,,False,False,0.0,False
vix_ep16,vix,2018-12-18,timesfm_2_5:e3,0.025,21,24,252,0.04031,1.61,False,False,False,22.0,True,False,0.125,False
vix_ep16,vix,2018-12-18,timesfm_2_5:e3,0.025,10,24,252,0.04498,1.8,False,True,False,15.0,True,False,0.125,False
vix_ep16,vix,2018-12-18,timesfm_2_5:e3,0.05,21,24,252,0.07036,1.41,False,False,False,24.0,True,False,0.167,False
vix_ep16,vix,2018-12-18,timesfm_2_5:e3,0.05,10,24,252,0.0813,1.63,False,False,False,15.0,True,False,0.167,False
vix_ep16,vix,2018-12-18,timesfm_2_5:e3,0.01,21,24,252,0.01989,1.99,False,False,True,,False,False,0.042,False
vix_ep16,vix,2018-12-18,timesfm_2_5:e3,0.01,10,24,252,0.02406,2.41,False,False,True,15.0,True,False,0.042,False
vix_ep16,vix,2018-12-18,moirai_2_0:e3,0.025,21,24,252,0.03811,1.52,False,False,False,,False,False,0.083,False
vix_ep16,vix,2018-12-18,moirai_2_0:e3,0.025,10,24,252,0.04667,1.87,False,True,False,15.0,True,False,0.083,False
vix_ep16,vix,2018-12-18,moirai_2_0:e3,0.05,21,24,252,0.07269,1.45,False,False,False,22.0,True,False,0.167,False
vix_ep16,vix,2018-12-18,moirai_2_0:e3,0.05,10,24,252,0.08148,1.63,False,False,False,15.0,True,False,0.167,False
vix_ep16,vix,2018-12-18,moirai_2_0:e3,0.01,21,24,252,0.01897,1.9,False,False,True,,False,False,0.042,False
vix_ep16,vix,2018-12-18,moirai_2_0:e3,0.01,10,24,252,0.02297,2.3,False,False,True,15.0,True,False,0.042,False
vix_ep16,vix,2018-12-18,lag_llama:e3,0.025,21,24,252,0.04006,1.6,False,False,False,32.0,True,False,0.167,False
vix_ep16,vix,2018-12-18,lag_llama:e3,0.025,10,24,252,0.04973,1.99,False,True,False,21.0,True,False,0.167,False
