layer,asset,state,n,hit_rate,uc_p_mc,uc_pass,fz0_mean
chronos_2:e3,ftse,high,495,0.07272727272727272,0.028197180281971802,False,1.4749439986829158
chronos_2:e3,gold,low,1981,0.04543160020191822,0.35666433356664334,True,0.7923570763667922
chronos_2:e3,gold,high,657,0.0471841704718417,0.793920607939206,True,1.004134421648708
chronos_2:e3,hsi,low,2066,0.057115198451113264,0.1620837916208379,True,1.0930403907592758
chronos_2:e3,hsi,high,513,0.037037037037037035,0.18598140185981402,True,1.2083595917447327
chronos_2:e3,jnj,low,2147,0.05216581276199348,0.6581341865813418,True,0.8732124271320981
chronos_2:e3,jnj,high,491,0.04684317718940937,0.7636236376362364,True,1.2370990331473712
chronos_2:e3,jpm,low,2206,0.04941069809610154,0.9163083691630837,True,1.1642313820693686
chronos_2:e3,jpm,high,432,0.05787037037037037,0.5055494450554945,True,1.7171324894064792
chronos_2:e3,ltc,low,2491,0.04656764351665998,0.43645635436456354,True,2.349784835058582
chronos_2:e3,ltc,high,816,0.04534313725490196,0.5705429457054294,True,2.6652324466631434
chronos_2:e3,msft,low,1992,0.05973895582329317,0.05849415058494151,True,1.2077778083180597
chronos_2:e3,msft,high,646,0.05572755417956656,0.5257474252574742,True,1.5533710789472965
chronos_2:e3,ndx,low,1968,0.059959349593495935,0.047595240475952406,False,1.0884721781589695
chronos_2:e3,ndx,high,670,0.05522388059701493,0.5898410158984102,True,1.3354311455526027
chronos_2:e3,nikkei,low,2040,0.058823529411764705,0.07789221077892211,True,1.022717323520881
chronos_2:e3,nikkei,high,525,0.05714285714285714,0.47865213478652135,True,1.4672961588592015
chronos_2:e3,nvda,low,1947,0.05752439650744735,0.1478852114788521,True,1.7825362888009626
chronos_2:e3,nvda,high,691,0.05065123010130246,1.0,True,2.070026963313793
chronos_2:e3,rut,low,2163,0.05640314378178456,0.18848115188481152,True,1.0091055348666693
chronos_2:e3,rut,high,475,0.05263157894736842,0.8313168683131686,True,1.5426132269168598
chronos_2:e3,spx,low,2134,0.05295220243673852,0.5521447855214479,True,0.7752348107383493
chronos_2:e3,spx,high,504,0.041666666666666664,0.42005799420057993,True,1.3064223103921384
chronos_2:e3,usdcad,low,1902,0.054679284963196635,0.37036296370362964,True,-0.1545369971649984
chronos_2:e3,usdcad,high,831,0.052948255114320095,0.7482251774822518,True,0.1507077527604414
chronos_2:e3,usdchf,low,2083,0.0585693710993759,0.09119088091190881,True,0.017100112220214025
chronos_2:e3,usdchf,high,649,0.0724191063174114,0.0143985601439856,False,0.40960465716870686
chronos_2:e3,wmt,low,2257,0.05316792202038104,0.5044495550444955,True,1.0364320675847885
chronos_2:e3,wmt,high,381,0.05249343832020997,0.9131086891310869,True,1.3271490335402152
chronos_2:e3,xom,low,2016,0.04861111111111111,0.7984201579842016,True,1.1247847332487646
chronos_2:e3,xom,high,622,0.0594855305466238,0.3126687331266873,True,1.697619473119275
chronos_2:e3,xrp,low,1707,0.04803749267721148,0.7372262773722628,True,2.1617425293269825
chronos_2:e3,xrp,high,451,0.04212860310421286,0.45655434456554345,True,2.7021474430318433
timesfm_2_5:e3,aapl,low,1946,0.05960945529290853,0.06359364063593641,True,1.2986398197671096
timesfm_2_5:e3,aapl,high,692,0.06213872832369942,0.16428357164283572,True,1.4824232766312626
timesfm_2_5:e3,amzn,low,2014,0.054121151936444886,0.41605839416058393,True,1.390122990554126
timesfm_2_5:e3,amzn,high,624,0.08012820512820513,0.001999800019998,False,1.831638891974194
timesfm_2_5:e3,audusd,low,2017,0.05453644025780863,0.3551644835516448,True,0.2714102855558942
timesfm_2_5:e3,audusd,high,716,0.06005586592178771,0.2645735426457354,True,0.44648737044743103
timesfm_2_5:e3,brent,low,2216,0.05595667870036101,0.22557744225577442,True,1.626662454926278
timesfm_2_5:e3,brent,high,424,0.08254716981132075,0.004999500049995001,False,2.4579043297434664
timesfm_2_5:e3,csi300,low,1756,0.043849658314350795,0.22347765223477653,True,1.08590550283536
timesfm_2_5:e3,csi300,high,423,0.07328605200945626,0.04229577042295771,False,2.0868610246696986
timesfm_2_5:e3,dax,low,2075,0.056385542168674696,0.21087891210878912,True,0.805036343821961
timesfm_2_5:e3,dax,high,589,0.07979626485568761,0.0025997400259974,False,1.4659140041873284
timesfm_2_5:e3,dgs10,low,1997,0.03805708562844266,0.0124987501249875,False,2.3149065907967548
