layer,asset,stratum,n,hit_rate,uc_p_mc,uc_pass,fz0_mean
chronos_bolt:e3,rut,Q1,660,0.07727272727272727,0.0026997300269973002,False,0.931503462705154
chronos_bolt:e3,rut,Q2,659,0.0622154779969651,0.18248175182481752,True,1.0396932701960544
chronos_bolt:e3,rut,Q3,660,0.07424242424242425,0.009099090090990901,False,1.1935776695016127
chronos_bolt:e3,rut,Q4,660,0.06515151515151515,0.09049095090490951,True,1.506785558183615
chronos_bolt:e3,spx,Q1,660,0.06212121212121212,0.1785821417858214,True,0.6421863278203497
chronos_bolt:e3,spx,Q2,659,0.05007587253414264,1.0,True,0.5843806175635782
chronos_bolt:e3,spx,Q3,660,0.0803030303030303,0.0010998900109989002,False,0.8647314972863671
chronos_bolt:e3,spx,Q4,660,0.06818181818181818,0.05019498050194981,True,1.391692296497117
chronos_bolt:e3,usdcad,Q1,684,0.07894736842105263,0.0017998200179982,False,-0.36522913160249854
chronos_bolt:e3,usdcad,Q2,683,0.07320644216691069,0.0100989901009899,False,-0.04067857275933238
chronos_bolt:e3,usdcad,Q3,683,0.0746705710102489,0.0059994000599940004,False,-0.029450811729711576
chronos_bolt:e3,usdcad,Q4,684,0.06578947368421052,0.0771922807719228,True,0.3189302713162989
chronos_bolt:e3,usdchf,Q1,683,0.08638360175695461,9.999000099990002e-05,False,0.0012175979487937707
chronos_bolt:e3,usdchf,Q2,683,0.07174231332357248,0.017998200179982,False,0.1090308873118347
chronos_bolt:e3,usdchf,Q3,683,0.07320644216691069,0.0100989901009899,False,0.09219719289881552
chronos_bolt:e3,usdchf,Q4,684,0.07309941520467836,0.010998900109989001,False,0.3872268172969984
chronos_bolt:e3,wmt,Q1,660,0.07727272727272727,0.0026997300269973002,False,0.9246715076998921
chronos_bolt:e3,wmt,Q2,659,0.07283763277693475,0.012798720127987202,False,0.9866320242440224
chronos_bolt:e3,wmt,Q3,660,0.08484848484848485,0.00019998000199980003,False,1.3092405649386996
chronos_bolt:e3,wmt,Q4,660,0.07424242424242425,0.009099090090990901,False,1.353859297587581
chronos_bolt:e3,xom,Q1,660,0.06818181818181818,0.05019498050194981,True,0.8590588776983136
chronos_bolt:e3,xom,Q2,659,0.06069802731411229,0.24997500249975002,True,1.1524986662811338
chronos_bolt:e3,xom,Q3,660,0.06666666666666667,0.07589241075892411,True,1.4820623434689975
chronos_bolt:e3,xom,Q4,660,0.06363636363636363,0.126987301269873,True,1.7228695449903282
chronos_bolt:e3,xrp,Q1,540,0.04814814814814815,0.8484151584841516,True,1.8704381590041081
chronos_bolt:e3,xrp,Q2,539,0.07606679035250463,0.0103989601039896,False,2.300842799751991
chronos_bolt:e3,xrp,Q3,540,0.06851851851851852,0.0761923807619238,True,2.186437852341154
chronos_bolt:e3,xrp,Q4,540,0.07962962962962963,0.0032996700329967,False,2.777985549170699
chronos_2:e3,aapl,Q1,660,0.051515151515151514,0.9301069893010699,True,1.0954878115949909
chronos_2:e3,aapl,Q2,659,0.04552352048558422,0.6561343865613438,True,1.1801848474880414
chronos_2:e3,aapl,Q3,660,0.04242424242424243,0.37936206379362064,True,1.3145657690359895
chronos_2:e3,aapl,Q4,660,0.05303030303030303,0.7902209779022098,True,1.8011416640368028
