forecaster,asset,erule,alpha,n_full,hit_full,ucp_full,pass_full,n_matched,hit_matched,ucp_matched,pass_matched
moirai_2_0,btc,e3,0.025,3796,0.02713382507903056,0.43245675432456754,True,3308,0.02781136638452237,0.31966803319668036,True
moirai_2_0,btc,e3,0.05,3796,0.052160168598524764,0.5513448655134486,True,3308,0.0501813784764208,0.9704029597040296,True
timesfm_2_5,btc,e1,0.01,3796,0.04399367755532139,9.999000099990002e-05,False,3308,0.04171704957678356,9.999000099990002e-05,False
timesfm_2_5,btc,e1,0.025,3796,0.06085353003161222,9.999000099990002e-05,False,3308,0.06015719467956469,9.999000099990002e-05,False
timesfm_2_5,btc,e1,0.05,3796,0.08587987355110643,9.999000099990002e-05,False,3308,0.08464328899637243,9.999000099990002e-05,False
timesfm_2_5,btc,e2,0.01,3796,0.007112750263435195,0.0643935606439356,True,3308,0.007557436517533253,0.1615838416158384,True
timesfm_2_5,btc,e2,0.025,3796,0.023972602739726026,0.708929107089291,True,3308,0.02176541717049577,0.24527547245275472,True
timesfm_2_5,btc,e2,0.05,3796,0.05347734457323498,0.33486651334866513,True,3308,0.05229746070133011,0.5473452654734526,True
timesfm_2_5,btc,e3,0.01,3796,0.013171759747102213,0.0740925907409259,True,3308,0.014207980652962516,0.0212978702129787,False
timesfm_2_5,btc,e3,0.025,3796,0.029241306638566913,0.10768923107689231,True,3308,0.0281136638452237,0.26887311268873115,True
timesfm_2_5,btc,e3,0.05,3796,0.05874604847207587,0.0170982901709829,False,3308,0.05773881499395405,0.0451954804519548,False
chronos_2,csi300,e0,0.01,2639,0.009852216748768473,1.0,True,2180,0.010091743119266056,1.0,True
chronos_2,csi300,e0,0.025,2639,0.0162940507768094,0.0029997000299970002,False,2180,0.01651376146788991,0.007899210078992101,False
chronos_2,csi300,e0,0.05,2639,0.05191360363774157,0.6552344765523448,True,2180,0.05229357798165138,0.6544345565443456,True
chronos_2,csi300,e1,0.01,2639,0.03675634710117469,9.999000099990002e-05,False,2180,0.03256880733944954,9.999000099990002e-05,False
chronos_2,csi300,e1,0.025,2639,0.055323986358469114,9.999000099990002e-05,False,2180,0.051834862385321104,9.999000099990002e-05,False
chronos_2,csi300,e1,0.05,2639,0.08071239105721864,9.999000099990002e-05,False,2180,0.07660550458715597,9.999000099990002e-05,False
chronos_2,csi300,e2,0.01,2639,0.007957559681697613,0.288971102889711,True,2180,0.007798165137614679,0.33036696330366966,True
chronos_2,csi300,e2,0.025,2639,0.02425161045850701,0.8494150584941506,True,2180,0.02522935779816514,1.0,True
chronos_2,csi300,e2,0.05,2639,0.05267146646456991,0.5641435856414359,True,2180,0.051834862385321104,0.7312268773122688,True
chronos_2,csi300,e3,0.01,2639,0.0071996968548692685,0.14058594140585942,True,2180,0.006880733944954129,0.1332866713328667,True
chronos_2,csi300,e3,0.025,2639,0.021220159151193633,0.21777822217778223,True,2180,0.021559633027522937,0.31216878312168783,True
chronos_2,csi300,e3,0.05,2639,0.05191360363774157,0.6552344765523448,True,2180,0.05229357798165138,0.6544345565443456,True
chronos_bolt,csi300,e0,0.01,2639,0.11936339522546419,9.999000099990002e-05,False,2180,0.12064220183486239,9.999000099990002e-05,False
chronos_bolt,csi300,e0,0.025,2639,0.11936339522546419,9.999000099990002e-05,False,2180,0.12064220183486239,9.999000099990002e-05,False
chronos_bolt,csi300,e0,0.05,2639,0.11936339522546419,9.999000099990002e-05,False,2180,0.12064220183486239,9.999000099990002e-05,False
chronos_bolt,csi300,e1,0.01,2639,0.030693444486547934,9.999000099990002e-05,False,2180,0.029357798165137616,9.999000099990002e-05,False
chronos_bolt,csi300,e1,0.025,2639,0.04964001515725654,9.999000099990002e-05,False,2180,0.047706422018348627,9.999000099990002e-05,False
chronos_bolt,csi300,e1,0.05,2639,0.07654414550966275,9.999000099990002e-05,False,2180,0.07614678899082569,9.999000099990002e-05,False
chronos_bolt,csi300,e2,0.01,2639,0.008715422508525956,0.5623437656234377,True,2180,0.00963302752293578,0.9144085591440856,True
chronos_bolt,csi300,e2,0.025,2639,0.023872679045092837,0.7589241075892411,True,2180,0.02522935779816514,1.0,True
chronos_bolt,csi300,e2,0.05,2639,0.04888215233042819,0.8264173582641736,True,2180,0.05045871559633028,0.959004099590041,True
chronos_bolt,csi300,e3,0.01,2639,0.011746873815839333,0.4373562643735626,True,2180,0.012385321100917432,0.27847215278472154,True
chronos_bolt,csi300,e3,0.025,2639,0.029556650246305417,0.1571842815718428,True,2180,0.030733944954128442,0.10078992100789921,True
chronos_bolt,csi300,e3,0.05,2639,0.0610079575596817,0.014098590140985901,False,2180,0.06192660550458716,0.014198580141985802,False
lag_llama,csi300,e0,0.01,2639,0.03296703296703297,9.999000099990002e-05,False,2180,0.03761467889908257,9.999000099990002e-05,False
lag_llama,csi300,e0,0.025,2639,0.051534672224327394,9.999000099990002e-05,False,2180,0.05688073394495413,9.999000099990002e-05,False
lag_llama,csi300,e0,0.05,2639,0.08639636225843123,9.999000099990002e-05,False,2180,0.09541284403669725,9.999000099990002e-05,False
lag_llama,csi300,e1,0.01,2639,0.045850701023114816,9.999000099990002e-05,False,2180,0.05137614678899083,9.999000099990002e-05,False
lag_llama,csi300,e1,0.025,2639,0.06707086017430845,9.999000099990002e-05,False,2180,0.07339449541284404,9.999000099990002e-05,False
lag_llama,csi300,e1,0.05,2639,0.09738537324744222,9.999000099990002e-05,False,2180,0.10733944954128441,9.999000099990002e-05,False
lag_llama,csi300,e2,0.01,2639,0.017430845017051912,0.0005999400059994001,False,2180,0.02018348623853211,9.999000099990002e-05,False
lag_llama,csi300,e2,0.025,2639,0.03978779840848806,9.999000099990002e-05,False,2180,0.045871559633027525,9.999000099990002e-05,False
lag_llama,csi300,e2,0.05,2639,0.06782872300113679,9.999000099990002e-05,False,2180,0.07706422018348624,9.999000099990002e-05,False
lag_llama,csi300,e3,0.01,2639,0.02046229632436529,9.999000099990002e-05,False,2180,0.023394495412844038,9.999000099990002e-05,False
lag_llama,csi300,e3,0.025,2639,0.03940886699507389,9.999000099990002e-05,False,2180,0.04541284403669725,9.999000099990002e-05,False
lag_llama,csi300,e3,0.05,2639,0.07843880257673361,9.999000099990002e-05,False,2180,0.08761467889908257,9.999000099990002e-05,False
moirai_2_0,csi300,e0,0.01,2639,0.013262599469496022,0.11358864113588642,True,2180,0.015137614678899083,0.029697030296970302,False
moirai_2_0,csi300,e0,0.025,2639,0.025009473285335353,1.0,True,2180,0.02706422018348624,0.5848415158484151,True
moirai_2_0,csi300,e0,0.05,2639,0.045850701023114816,0.3264673532646735,True,2180,0.04954128440366973,0.9182081791820818,True
moirai_2_0,csi300,e1,0.01,2639,0.021220159151193633,9.999000099990002e-05,False,2180,0.022935779816513763,9.999000099990002e-05,False
moirai_2_0,csi300,e1,0.025,2639,0.03637741568776052,0.0007999200079992001,False,2180,0.0389908256880734,0.00029997000299970003,False
