model,asset,alpha,pair,n,stat,p,mean_diff
chronos_bolt,hsi,0.025,F1_vs_garch_evt,2080,1.1726488828444652,0.2410709825539712,0.0468988642639523
chronos_bolt,hsi,0.025,F1_vs_F4,2080,-1.334729718606397,0.1821109723662018,-0.0446775290760337
chronos_bolt,hsi,0.05,F1_vs_garch_evt,2080,1.0114419441118965,0.3119226522473843,0.0284577822753729
chronos_bolt,hsi,0.05,F1_vs_F4,2080,-1.2089458244701945,0.2268211311753562,-0.0229501349091983
chronos_bolt,jnj,0.01,F1_vs_garch_evt,2139,-0.5127267848971024,0.6081954177421272,-0.0200272225728107
chronos_bolt,jnj,0.01,F1_vs_F4,2095,-1.7649942639782965,0.0777104730916103,-0.0802317707797203
chronos_bolt,jnj,0.025,F1_vs_garch_evt,2139,-0.0988924050899769,0.9212329699113756,-0.002579255776292
chronos_bolt,jnj,0.025,F1_vs_F4,2091,-1.5242192706134006,0.1276052387184187,-0.0337132144953464
chronos_bolt,jnj,0.05,F1_vs_garch_evt,2139,0.1711992633343314,0.8640832872682538,0.0033017656220727
chronos_bolt,jnj,0.05,F1_vs_F4,2092,-1.10983771498442,0.2671965800714772,-0.012257674319227
chronos_bolt,jpm,0.01,F1_vs_garch_evt,2139,2.9882237690200943,0.0028379925391467,0.1316957566686042
chronos_bolt,jpm,0.01,F1_vs_F4,2061,-1.025691975904351,0.3051572221840198,-0.0576526079999502
chronos_bolt,jpm,0.025,F1_vs_garch_evt,2139,2.78235299228767,0.0054440251670556,0.0824089811223006
chronos_bolt,jpm,0.025,F1_vs_F4,2072,-0.7892559419080857,0.430052777002244,-0.0165859497074415
chronos_bolt,jpm,0.05,F1_vs_garch_evt,2139,2.6031669652180778,0.0093005646575225,0.0575873689392138
chronos_bolt,jpm,0.05,F1_vs_F4,2139,-0.321769956855406,0.747658431126003,-0.0042011517282975
chronos_bolt,ltc,0.01,F1_vs_garch_evt,2808,-0.1339155275350136,0.8934789717512219,-0.0045730469106448
chronos_bolt,ltc,0.01,F1_vs_F4,2722,-0.9292947496532186,0.352818786568562,-0.0243296791248201
chronos_bolt,ltc,0.025,F1_vs_garch_evt,2808,-0.4183015939841045,0.6757586235100652,-0.0090605980473645
chronos_bolt,ltc,0.025,F1_vs_F4,2790,-0.8807459085988565,0.3785312510891145,-0.0088227657551629
chronos_bolt,ltc,0.05,F1_vs_garch_evt,2808,-0.710155512166985,0.4776666967954739,-0.0108973914831098
chronos_bolt,ltc,0.05,F1_vs_F4,2808,-1.1434401566135453,0.2529533941347767,-0.009288541681398
chronos_bolt,msft,0.01,F1_vs_garch_evt,2139,1.1973952534930634,0.2312852711015519,0.0585333277156249
chronos_bolt,msft,0.01,F1_vs_F4,2088,-0.8798428984593025,0.3790457196522817,-0.0431473978804293
chronos_bolt,msft,0.025,F1_vs_garch_evt,2139,1.0551968058146577,0.2914545484976099,0.0328984948204178
chronos_bolt,msft,0.025,F1_vs_F4,2115,-0.0729798447873597,0.9418290602942064,-0.0013038694902658
chronos_bolt,msft,0.05,F1_vs_garch_evt,2139,0.6701279375016478,0.5028486083841457,0.015111758854816
chronos_bolt,msft,0.05,F1_vs_F4,2132,0.7522599016135724,0.4519778581872052,0.0078582088512431
chronos_bolt,natgas,0.01,F1_vs_garch_evt,2141,1.0321376727007934,0.302124257319291,0.0815727591721601
chronos_bolt,natgas,0.01,F1_vs_F4,2098,-2.7712562690825733,0.005633330213666,-0.0981653389580984
chronos_bolt,natgas,0.025,F1_vs_garch_evt,2141,0.7596738133116672,0.4475332605509995,0.0321705371663642
chronos_bolt,natgas,0.025,F1_vs_F4,2103,-2.7419871644619995,0.0061586217526339,-0.0393238210689049
chronos_bolt,natgas,0.05,F1_vs_garch_evt,2141,0.1987468088552871,0.8424796855574137,0.0054572189424821
chronos_bolt,natgas,0.05,F1_vs_F4,2119,-3.273595802177494,0.001078975859986,-0.0239437697472803
chronos_bolt,ndx,0.01,F1_vs_garch_evt,2139,1.5257717320422255,0.1272146306545605,0.070285993380109
chronos_bolt,ndx,0.01,F1_vs_F4,2120,-0.4083484493725341,0.6830591332551565,-0.0165613002473819
chronos_bolt,ndx,0.025,F1_vs_garch_evt,2139,1.7963731684271542,0.0725763085023942,0.0535701069615242
chronos_bolt,ndx,0.025,F1_vs_F4,2115,0.8246174798225897,0.409681826301101,0.0144399182472904
chronos_bolt,ndx,0.05,F1_vs_garch_evt,2139,2.5959049100309177,0.009498804874596,0.0565516610794044
chronos_bolt,ndx,0.05,F1_vs_F4,2139,0.9649453221445844,0.3346813292590612,0.0104850088110417
chronos_bolt,nikkei,0.01,F1_vs_garch_evt,2066,0.9301544889550136,0.3523998231571412,0.041357721018469
chronos_bolt,nikkei,0.01,F1_vs_F4,1986,-1.3358448916421093,0.181753109354534,-0.040163228348321
chronos_bolt,nikkei,0.025,F1_vs_garch_evt,2066,0.232976286424402,0.8158029092581169,0.0059272870218369
chronos_bolt,nikkei,0.025,F1_vs_F4,2040,-1.4530402323705065,0.146366459604778,-0.029339790519691
chronos_bolt,nikkei,0.05,F1_vs_garch_evt,2066,0.5250863523211288,0.5995795320670796,0.0095313549462544
chronos_bolt,nikkei,0.05,F1_vs_F4,2066,-1.0432441095756024,0.2969573624094428,-0.0111262436153684
chronos_bolt,nvda,0.01,F1_vs_garch_evt,2139,0.556020648765914,0.5782549211475807,0.0149152346630017
chronos_bolt,nvda,0.01,F1_vs_F4,2051,-1.15786187500464,0.2470552870412365,-0.0457634631087962
chronos_bolt,nvda,0.025,F1_vs_garch_evt,2139,1.4367434141842597,0.1509372277711506,0.026708607579221
chronos_bolt,nvda,0.025,F1_vs_F4,2096,-0.2768899949257957,0.7818918907683099,-0.0052887203371818
chronos_bolt,nvda,0.05,F1_vs_garch_evt,2139,1.3658225336163163,0.172138329941677,0.0203377998805591
chronos_bolt,nvda,0.05,F1_vs_F4,2139,0.171032840415998,0.8642141274857279,0.001656190518897
chronos_bolt,rut,0.01,F1_vs_garch_evt,2139,2.7624680113810367,0.0057857099383333,0.098909980797251
chronos_bolt,rut,0.01,F1_vs_F4,2044,-3.980888641676605,7.105800324735072e-05,-0.1355598185077464
chronos_bolt,rut,0.025,F1_vs_garch_evt,2139,2.2582028295964487,0.0240334437360155,0.0582489652110272
chronos_bolt,rut,0.025,F1_vs_F4,2051,-2.4864155709822406,0.0129827862362272,-0.039743521970047
