model,asset,alpha,pair,n,stat_frozen,p_frozen,stat_nw,p_nw,nw_lag,mean_diff
lag_llama,wmt,0.025,F1_vs_F4,2139,-2.878625205239669,0.0040338093231379,-2.892678345352872,0.0038197225431932935,7,-0.0848251638821494
lag_llama,wmt,0.05,F1_vs_garch_evt,2139,1.78404944833353,0.0745574122488214,1.800318327098575,0.07181038867464173,7,0.0595704697356838
lag_llama,wmt,0.05,F1_vs_F4,2139,-2.9297287300283976,0.0034285180062685,-2.879224909637694,0.00398653919454639,7,-0.0348309540077644
lag_llama,xom,0.01,F1_vs_garch_evt,2139,1.5278000088016486,0.1267101213412483,1.5405888752913817,0.12341687715849847,7,0.1311670160103002
lag_llama,xom,0.01,F1_vs_F4,2136,-2.8024993148262114,0.0051166074127607,-2.660840067584344,0.007794597116568047,7,-0.1269567644835048
lag_llama,xom,0.025,F1_vs_garch_evt,2139,2.482043249875008,0.0131394126070812,2.35288394530356,0.01862844712206657,7,0.1327964138651134
lag_llama,xom,0.025,F1_vs_F4,2139,-2.853174839024546,0.0043701182055605,-2.2315005866517876,0.025647988701076097,7,-0.0686836724862251
lag_llama,xom,0.05,F1_vs_garch_evt,2139,3.2942207590664663,0.0010030581784387,2.9196303013816247,0.0035044685421392607,7,0.1233392529903826
lag_llama,xom,0.05,F1_vs_F4,2139,-2.4958985858194382,0.0126386646356067,-1.8580894233701275,0.06315631654751952,7,-0.0323806531018851
lag_llama,xrp,0.01,F1_vs_garch_evt,1659,1.6262696108779764,0.1040823453002118,1.6296570310224223,0.1031740036212887,7,0.0914731427176509
lag_llama,xrp,0.01,F1_vs_F4,1642,0.5500763528735463,0.5823418655495995,0.5522599139051868,0.5807702906401757,7,0.0200191160219875
lag_llama,xrp,0.025,F1_vs_garch_evt,1659,1.3562801658980044,0.1751947061411338,1.2790485945949204,0.20087994407283105,7,0.0485265544161307
lag_llama,xrp,0.025,F1_vs_F4,1644,3.133047484394321,0.0017605571038497,2.880643918444995,0.003968637201884118,7,0.0371803082829346
lag_llama,xrp,0.05,F1_vs_garch_evt,1659,1.2865447263287593,0.19843262822283,1.2035602869038684,0.22875957673600733,7,0.0354466248178883
lag_llama,xrp,0.05,F1_vs_F4,1659,2.6968066250103173,0.0070716697407297,2.5160605733246912,0.011867478466715875,7,0.0198154155306885
chronos_bolt,aapl,0.01,F1_vs_garch_evt,2139,1.7059977008171303,0.0881537447041987,1.677785777340601,0.09338892686145162,7,0.0544873268246008
chronos_bolt,aapl,0.01,F1_vs_F4,2058,-0.9742940404587228,0.3300251206002831,-0.9844704664917878,0.32488424567018104,7,-0.0318734675835631
chronos_bolt,aapl,0.025,F1_vs_garch_evt,2139,1.8629376110213085,0.0626080859097629,1.810462357610462,0.07022411669522954,7,0.0412761777001267
chronos_bolt,aapl,0.025,F1_vs_F4,2139,-0.4232956211193563,0.672122164082267,-0.42355425908613514,0.6718909198426071,7,-0.0084587496389846
chronos_bolt,aapl,0.05,F1_vs_garch_evt,2139,2.88536335312053,0.0039487960276946,2.73833111752874,0.006175186741071981,7,0.0486562875615314
chronos_bolt,aapl,0.05,F1_vs_F4,2139,0.3543472081487451,0.7231136372227658,0.33745899139047275,0.7357709210524461,7,0.0039324858365143
chronos_bolt,amzn,0.01,F1_vs_garch_evt,2139,1.7723187908743645,0.0764840365907865,1.8186218138791368,0.06896914747131477,7,0.0636689565982679
chronos_bolt,amzn,0.01,F1_vs_F4,2082,-2.587572819186544,0.0097326878442101,-2.495781405666107,0.012568002394206301,7,-0.0853641440489125
chronos_bolt,amzn,0.025,F1_vs_garch_evt,2139,1.2855637509945956,0.1987345810766853,1.2865044900340248,0.19826705282154222,7,0.0329250254649551
chronos_bolt,amzn,0.025,F1_vs_F4,2112,-1.4480841930144532,0.1477420059618176,-1.351649870736047,0.1764873485370193,7,-0.0265444804240388
chronos_bolt,amzn,0.05,F1_vs_garch_evt,2139,0.0754465757007402,0.9398664612787846,0.0744472091727987,0.9406545455080928,7,0.0015086313420187
chronos_bolt,amzn,0.05,F1_vs_F4,2139,-2.281650353493037,0.0226078848252746,-2.0067092109357723,0.0447806346891475,7,-0.0233572055682175
chronos_bolt,audusd,0.01,F1_vs_garch_evt,2234,-0.1491279894360221,0.8814661067830605,-0.14153549661249717,0.8874469200365243,7,-0.0050863894552386
chronos_bolt,audusd,0.01,F1_vs_F4,2205,-1.2953104871788683,0.195348798380587,-1.2927917255862533,0.1960831029742387,7,-0.035458747812113
chronos_bolt,audusd,0.025,F1_vs_garch_evt,2234,0.3941295321651025,0.6935230425075242,0.32258238958690344,0.7470115323867821,7,0.0087355300974625
chronos_bolt,audusd,0.025,F1_vs_F4,2202,-0.1327412289972565,0.8944101692409687,-0.1330781527757766,0.8941315730117414,7,-0.0016932333368787
chronos_bolt,audusd,0.05,F1_vs_garch_evt,2234,0.576653924309279,0.5642313861600226,0.4651212404325926,0.6418446360240937,7,0.0087624553139389
chronos_bolt,audusd,0.05,F1_vs_F4,2234,-0.832878961240849,0.4050020662966477,-0.8355656642655236,0.40339929175618927,7,-0.0069924794820198
chronos_bolt,brent,0.01,F1_vs_garch_evt,2141,0.7809812658134017,0.434899896159287,0.7343470423525514,0.46273725392572973,7,0.0343816901610181
chronos_bolt,brent,0.01,F1_vs_F4,2088,-1.0714729403859695,0.2840807204883741,-1.064431718943734,0.28713317112482395,7,-0.0328388908291316
chronos_bolt,brent,0.025,F1_vs_garch_evt,2141,1.9420062061622403,0.0522674134631021,1.8406384707290553,0.06567455616083828,7,0.0523994810569637
chronos_bolt,brent,0.025,F1_vs_F4,2136,-2.1478393852541284,0.0318387522121229,-1.879845660865183,0.06012911541233268,7,-0.032422930294415
chronos_bolt,brent,0.05,F1_vs_garch_evt,2141,2.581303316548277,0.009908788220752,2.5458827889612494,0.010900178149870321,7,0.0498193985199462
chronos_bolt,brent,0.05,F1_vs_F4,2140,-1.013253433865481,0.3110537225816762,-1.0016202281578763,0.31652704750699545,7,-0.0088027551696034
chronos_bolt,btc,0.01,F1_vs_garch_evt,2808,0.6852554953063582,0.4932392932221866,0.5942472381641203,0.5523467621693641,8,0.0439720072696714
chronos_bolt,btc,0.01,F1_vs_F4,2747,0.5343332482939065,0.593154248701927,0.505921425063437,0.612911811058571,8,0.0340475593260587
chronos_bolt,btc,0.025,F1_vs_garch_evt,2808,0.4737621968795295,0.6357063397867238,0.42416588110693326,0.6714448415709133,8,0.0169593264770339
