model,asset,alpha,arm,in_mcs,mcs_p,n
chronos_bolt,ftse,0.01,F2,True,0.121,2152
chronos_bolt,ftse,0.01,F3,False,0.024,2152
chronos_bolt,ftse,0.01,F4,True,0.121,2152
chronos_bolt,ftse,0.01,garch_evt,True,0.121,2152
chronos_bolt,ftse,0.01,fhs,True,0.121,2152
chronos_bolt,ftse,0.025,F1,True,0.1694,2152
chronos_bolt,ftse,0.025,H,True,0.1694,2152
chronos_bolt,ftse,0.025,F2,True,0.1694,2152
chronos_bolt,ftse,0.025,F3,False,0.0394,2152
chronos_bolt,ftse,0.025,F4,False,0.0526,2152
chronos_bolt,ftse,0.025,garch_evt,True,0.1694,2152
chronos_bolt,ftse,0.025,fhs,True,0.1694,2152
chronos_bolt,ftse,0.05,F1,True,0.1134,2152
chronos_bolt,ftse,0.05,H,True,0.1134,2152
chronos_bolt,ftse,0.05,F2,True,0.1134,2152
chronos_bolt,ftse,0.05,F3,False,0.0378,2152
chronos_bolt,ftse,0.05,F4,True,0.1134,2152
chronos_bolt,ftse,0.05,garch_evt,True,0.1134,2152
chronos_bolt,ftse,0.05,fhs,True,0.1134,2152
chronos_bolt,gbpusd,0.01,F1,True,0.2024,2169
chronos_bolt,gbpusd,0.01,H,True,0.2024,2169
chronos_bolt,gbpusd,0.01,F2,True,0.2024,2169
chronos_bolt,gbpusd,0.01,F3,False,0.0182,2169
chronos_bolt,gbpusd,0.01,F4,False,0.0082,2169
chronos_bolt,gbpusd,0.01,garch_evt,True,0.2024,2169
chronos_bolt,gbpusd,0.01,fhs,True,0.2024,2169
chronos_bolt,gbpusd,0.025,F1,True,0.249,2214
chronos_bolt,gbpusd,0.025,H,True,0.249,2214
chronos_bolt,gbpusd,0.025,F2,True,0.249,2214
chronos_bolt,gbpusd,0.025,F3,False,0.0372,2214
chronos_bolt,gbpusd,0.025,F4,False,0.0356,2214
chronos_bolt,gbpusd,0.025,garch_evt,True,0.249,2214
chronos_bolt,gbpusd,0.025,fhs,True,0.249,2214
chronos_bolt,gbpusd,0.05,F1,True,0.1384,2234
chronos_bolt,gbpusd,0.05,H,True,0.1384,2234
chronos_bolt,gbpusd,0.05,F2,True,0.1384,2234
chronos_bolt,gbpusd,0.05,F3,True,0.1384,2234
chronos_bolt,gbpusd,0.05,F4,False,0.0328,2234
chronos_bolt,gbpusd,0.05,garch_evt,True,0.1384,2234
chronos_bolt,gbpusd,0.05,fhs,True,0.1384,2234
chronos_bolt,gold,0.01,F1,True,0.132,2108
chronos_bolt,gold,0.01,H,True,0.132,2108
chronos_bolt,gold,0.01,F2,True,0.132,2108
chronos_bolt,gold,0.01,F3,True,0.132,2108
chronos_bolt,gold,0.01,F4,True,0.132,2108
chronos_bolt,gold,0.01,garch_evt,True,0.132,2108
chronos_bolt,gold,0.01,fhs,True,0.132,2108
chronos_bolt,gold,0.025,F1,True,0.1286,2114
chronos_bolt,gold,0.025,H,True,0.1286,2114
chronos_bolt,gold,0.025,F2,True,0.1286,2114
chronos_bolt,gold,0.025,F3,True,0.1286,2114
chronos_bolt,gold,0.025,F4,True,0.1286,2114
chronos_bolt,gold,0.025,garch_evt,True,0.1286,2114
chronos_bolt,gold,0.025,fhs,True,0.1286,2114
chronos_bolt,gold,0.05,F1,True,0.11,2139
chronos_bolt,gold,0.05,H,True,0.11,2139
chronos_bolt,gold,0.05,F2,True,0.11,2139
chronos_bolt,gold,0.05,F3,True,0.11,2139
chronos_bolt,gold,0.05,F4,True,0.11,2139
chronos_bolt,gold,0.05,garch_evt,True,0.11,2139
chronos_bolt,gold,0.05,fhs,True,0.11,2139
chronos_bolt,hsi,0.01,F1,True,0.2712,2080
chronos_bolt,hsi,0.01,H,True,0.2712,2080
chronos_bolt,hsi,0.01,F2,True,0.2712,2080
chronos_bolt,hsi,0.01,F3,True,0.2712,2080
chronos_bolt,hsi,0.01,F4,True,0.2712,2080
chronos_bolt,hsi,0.01,garch_evt,True,0.2712,2080
chronos_bolt,hsi,0.01,fhs,True,0.2712,2080
chronos_bolt,hsi,0.025,F1,True,0.2274,2080
chronos_bolt,hsi,0.025,H,True,0.2274,2080
chronos_bolt,hsi,0.025,F2,True,0.2274,2080
chronos_bolt,hsi,0.025,F3,True,0.2274,2080
chronos_bolt,hsi,0.025,F4,True,0.2274,2080
chronos_bolt,hsi,0.025,garch_evt,True,0.2274,2080
chronos_bolt,hsi,0.025,fhs,True,0.2274,2080
chronos_bolt,hsi,0.05,F1,True,0.3842,2080
chronos_bolt,hsi,0.05,H,True,0.3842,2080
chronos_bolt,hsi,0.05,F2,True,0.3842,2080
chronos_bolt,hsi,0.05,F3,True,0.3842,2080
chronos_bolt,hsi,0.05,F4,True,0.3842,2080
chronos_bolt,hsi,0.05,garch_evt,True,0.3842,2080
chronos_bolt,hsi,0.05,fhs,True,0.3842,2080
chronos_bolt,jnj,0.01,F1,True,0.4532,2095
chronos_bolt,jnj,0.01,H,True,0.4532,2095
chronos_bolt,jnj,0.01,F2,True,0.4532,2095
chronos_bolt,jnj,0.01,F3,True,0.4532,2095
chronos_bolt,jnj,0.01,F4,True,0.4532,2095
chronos_bolt,jnj,0.01,garch_evt,True,0.4532,2095
chronos_bolt,jnj,0.01,fhs,True,0.4532,2095
chronos_bolt,jnj,0.025,F1,True,0.1706,2091
chronos_bolt,jnj,0.025,H,True,0.1706,2091
chronos_bolt,jnj,0.025,F2,True,0.1706,2091
chronos_bolt,jnj,0.025,F3,True,0.1706,2091
chronos_bolt,jnj,0.025,F4,True,0.1706,2091
chronos_bolt,jnj,0.025,garch_evt,True,0.1706,2091
chronos_bolt,jnj,0.025,fhs,True,0.1706,2091
chronos_bolt,jnj,0.05,F1,True,0.871,2092
chronos_bolt,jnj,0.05,H,True,0.871,2092
chronos_bolt,jnj,0.05,F2,True,0.871,2092
chronos_bolt,jnj,0.05,F3,False,0.0162,2092
chronos_bolt,jnj,0.05,F4,True,0.871,2092
chronos_bolt,jnj,0.05,garch_evt,True,0.871,2092
chronos_bolt,jnj,0.05,fhs,True,0.871,2092
chronos_bolt,jpm,0.01,F1,False,0.0566,2061
chronos_bolt,jpm,0.01,H,True,0.1034,2061
chronos_bolt,jpm,0.01,F2,False,0.0566,2061
chronos_bolt,jpm,0.01,F3,False,0.0224,2061
chronos_bolt,jpm,0.01,F4,False,0.0566,2061
chronos_bolt,jpm,0.01,garch_evt,True,0.1034,2061
chronos_bolt,jpm,0.01,fhs,True,0.1034,2061
chronos_bolt,jpm,0.025,F1,True,0.1654,2072
chronos_bolt,jpm,0.025,H,True,0.1654,2072
chronos_bolt,jpm,0.025,F2,True,0.1654,2072
chronos_bolt,jpm,0.025,F3,False,0.0104,2072
chronos_bolt,jpm,0.025,F4,True,0.1654,2072
chronos_bolt,jpm,0.025,garch_evt,True,0.1654,2072
chronos_bolt,jpm,0.025,fhs,True,0.1654,2072
chronos_bolt,jpm,0.05,F1,True,0.2154,2139
chronos_bolt,jpm,0.05,H,True,0.2154,2139
chronos_bolt,jpm,0.05,F2,True,0.2154,2139
chronos_bolt,jpm,0.05,F3,False,0.012,2139
chronos_bolt,jpm,0.05,F4,True,0.2154,2139
chronos_bolt,jpm,0.05,garch_evt,True,0.2154,2139
chronos_bolt,jpm,0.05,fhs,True,0.2154,2139
chronos_bolt,ltc,0.01,F1,True,0.193,2722
chronos_bolt,ltc,0.01,H,True,0.193,2722
chronos_bolt,ltc,0.01,F2,True,0.193,2722
chronos_bolt,ltc,0.01,F3,True,0.193,2722
chronos_bolt,ltc,0.01,F4,True,0.193,2722
chronos_bolt,ltc,0.01,garch_evt,True,0.193,2722
chronos_bolt,ltc,0.01,fhs,True,0.193,2722
chronos_bolt,ltc,0.025,F1,True,0.986,2790
chronos_bolt,ltc,0.025,H,True,0.986,2790
chronos_bolt,ltc,0.025,F2,True,0.986,2790
chronos_bolt,ltc,0.025,F3,True,0.986,2790
chronos_bolt,ltc,0.025,F4,True,0.986,2790
chronos_bolt,ltc,0.025,garch_evt,True,0.986,2790
chronos_bolt,ltc,0.025,fhs,True,0.986,2790
chronos_bolt,ltc,0.05,F1,True,0.9288,2808
chronos_bolt,ltc,0.05,H,True,0.9288,2808
chronos_bolt,ltc,0.05,F2,True,0.9288,2808
chronos_bolt,ltc,0.05,F3,True,0.9288,2808
chronos_bolt,ltc,0.05,F4,True,0.9288,2808
chronos_bolt,ltc,0.05,garch_evt,True,0.9288,2808
chronos_bolt,ltc,0.05,fhs,True,0.9288,2808
chronos_bolt,msft,0.01,F1,True,0.1292,2088
chronos_bolt,msft,0.01,H,True,0.1292,2088
chronos_bolt,msft,0.01,F2,True,0.1292,2088
chronos_bolt,msft,0.01,F3,False,0.0206,2088
chronos_bolt,msft,0.01,F4,True,0.1292,2088
chronos_bolt,msft,0.01,garch_evt,True,0.1292,2088
chronos_bolt,msft,0.01,fhs,True,0.1292,2088
chronos_bolt,msft,0.025,F1,True,0.1634,2115
chronos_bolt,msft,0.025,H,True,0.1634,2115
chronos_bolt,msft,0.025,F2,True,0.1634,2115
chronos_bolt,msft,0.025,F3,False,0.0248,2115
chronos_bolt,msft,0.025,F4,True,0.1634,2115
chronos_bolt,msft,0.025,garch_evt,True,0.1634,2115
chronos_bolt,msft,0.025,fhs,True,0.1634,2115
chronos_bolt,msft,0.05,F1,True,0.1468,2132
chronos_bolt,msft,0.05,H,True,0.1468,2132
chronos_bolt,msft,0.05,F2,True,0.1468,2132
chronos_bolt,msft,0.05,F3,True,0.1468,2132
chronos_bolt,msft,0.05,F4,True,0.1468,2132
chronos_bolt,msft,0.05,garch_evt,True,0.1468,2132
chronos_bolt,msft,0.05,fhs,True,0.1468,2132
chronos_bolt,natgas,0.01,F1,True,0.2004,2098
chronos_bolt,natgas,0.01,H,True,0.2004,2098
chronos_bolt,natgas,0.01,F2,True,0.2004,2098
chronos_bolt,natgas,0.01,F3,False,0.0738,2098
chronos_bolt,natgas,0.01,F4,False,0.0302,2098
chronos_bolt,natgas,0.01,garch_evt,True,0.2004,2098
