asset,group,model,site,xi_ge1,n,frac
dgs2,rates,chronos_bolt,residual_h,0,2433,0.0
dgs2,rates,chronos_2,residual_f1,0,2433,0.0
dgs2,rates,chronos_2,residual_h,0,2433,0.0
dgs2,rates,timesfm_2_5,residual_f1,0,2433,0.0
dgs2,rates,timesfm_2_5,residual_h,0,2433,0.0
dgs2,rates,moirai_2_0,residual_f1,0,2433,0.0
dgs2,rates,moirai_2_0,residual_h,0,2433,0.0
dgs2,rates,lag_llama,residual_f1,0,2433,0.0
dgs2,rates,lag_llama,residual_h,0,2433,0.0
dgs2,rates,(GARCH-EVT),residual_ge,0,2433,0.0
dgs30,rates,"(E3, all)",e3,61,2625,0.0232
dgs30,rates,chronos_bolt,residual_f1,0,2433,0.0
dgs30,rates,chronos_bolt,residual_h,0,2433,0.0
dgs30,rates,chronos_2,residual_f1,0,2433,0.0
dgs30,rates,chronos_2,residual_h,0,2433,0.0
dgs30,rates,timesfm_2_5,residual_f1,0,2433,0.0
dgs30,rates,timesfm_2_5,residual_h,0,2433,0.0
dgs30,rates,moirai_2_0,residual_f1,0,2433,0.0
dgs30,rates,moirai_2_0,residual_h,0,2433,0.0
dgs30,rates,lag_llama,residual_f1,0,2433,0.0
dgs30,rates,lag_llama,residual_h,0,2433,0.0
dgs30,rates,(GARCH-EVT),residual_ge,0,2433,0.0
dgs5,rates,"(E3, all)",e3,0,2625,0.0
dgs5,rates,chronos_bolt,residual_f1,0,2433,0.0
dgs5,rates,chronos_bolt,residual_h,0,2433,0.0
dgs5,rates,chronos_2,residual_f1,0,2433,0.0
dgs5,rates,chronos_2,residual_h,0,2433,0.0
dgs5,rates,timesfm_2_5,residual_f1,0,2433,0.0
dgs5,rates,timesfm_2_5,residual_h,0,2433,0.0
dgs5,rates,moirai_2_0,residual_f1,0,2433,0.0
dgs5,rates,moirai_2_0,residual_h,0,2433,0.0
dgs5,rates,lag_llama,residual_f1,0,2433,0.0
dgs5,rates,lag_llama,residual_h,0,2433,0.0
dgs5,rates,(GARCH-EVT),residual_ge,0,2433,0.0
eth,crypto,"(E3, all)",e3,0,2647,0.0
eth,crypto,chronos_bolt,residual_f1,0,1967,0.0
eth,crypto,chronos_bolt,residual_h,0,1967,0.0
eth,crypto,chronos_2,residual_f1,0,1967,0.0
eth,crypto,chronos_2,residual_h,0,1967,0.0
eth,crypto,timesfm_2_5,residual_f1,0,1967,0.0
eth,crypto,timesfm_2_5,residual_h,0,1967,0.0
eth,crypto,moirai_2_0,residual_f1,0,1967,0.0
eth,crypto,moirai_2_0,residual_h,0,1967,0.0
eth,crypto,lag_llama,residual_f1,0,1967,0.0
eth,crypto,lag_llama,residual_h,0,1967,0.0
eth,crypto,(GARCH-EVT),residual_ge,0,1967,0.0
ftse,equity_index,"(E3, all)",e3,0,2652,0.0
ftse,equity_index,chronos_bolt,residual_f1,0,2460,0.0
ftse,equity_index,chronos_bolt,residual_h,0,2460,0.0
ftse,equity_index,chronos_2,residual_f1,0,2460,0.0
ftse,equity_index,chronos_2,residual_h,0,2460,0.0
ftse,equity_index,timesfm_2_5,residual_f1,0,2460,0.0
ftse,equity_index,timesfm_2_5,residual_h,0,2460,0.0
ftse,equity_index,moirai_2_0,residual_f1,0,2460,0.0
ftse,equity_index,moirai_2_0,residual_h,0,2460,0.0
ftse,equity_index,lag_llama,residual_f1,0,2460,0.0
ftse,equity_index,lag_llama,residual_h,0,2460,0.0
ftse,equity_index,(GARCH-EVT),residual_ge,0,2460,0.0
gbpusd,fx,"(E3, all)",e3,0,2734,0.0
gbpusd,fx,chronos_bolt,residual_f1,0,2542,0.0
gbpusd,fx,chronos_bolt,residual_h,0,2542,0.0
gbpusd,fx,chronos_2,residual_f1,0,2542,0.0
gbpusd,fx,chronos_2,residual_h,0,2542,0.0
gbpusd,fx,timesfm_2_5,residual_f1,0,2542,0.0
gbpusd,fx,timesfm_2_5,residual_h,0,2542,0.0
gbpusd,fx,moirai_2_0,residual_f1,0,2542,0.0
gbpusd,fx,moirai_2_0,residual_h,0,2542,0.0
gbpusd,fx,lag_llama,residual_f1,0,2542,0.0
gbpusd,fx,lag_llama,residual_h,0,2542,0.0
gbpusd,fx,(GARCH-EVT),residual_ge,0,2542,0.0
gold,commodity,"(E3, all)",e3,0,2639,0.0
gold,commodity,chronos_bolt,residual_f1,0,2447,0.0
gold,commodity,chronos_bolt,residual_h,0,2447,0.0
gold,commodity,chronos_2,residual_f1,0,2447,0.0
gold,commodity,chronos_2,residual_h,0,2447,0.0
gold,commodity,timesfm_2_5,residual_f1,0,2447,0.0
gold,commodity,timesfm_2_5,residual_h,0,2447,0.0
gold,commodity,moirai_2_0,residual_f1,0,2447,0.0
gold,commodity,moirai_2_0,residual_h,0,2447,0.0
gold,commodity,lag_llama,residual_f1,0,2447,0.0
gold,commodity,lag_llama,residual_h,0,2447,0.0
gold,commodity,(GARCH-EVT),residual_ge,0,2447,0.0
hsi,equity_index,"(E3, all)",e3,0,2580,0.0
hsi,equity_index,chronos_bolt,residual_f1,0,2388,0.0
hsi,equity_index,chronos_bolt,residual_h,0,2388,0.0
hsi,equity_index,chronos_2,residual_f1,0,2388,0.0
hsi,equity_index,chronos_2,residual_h,0,2388,0.0
hsi,equity_index,timesfm_2_5,residual_f1,0,2388,0.0
hsi,equity_index,timesfm_2_5,residual_h,0,2388,0.0
hsi,equity_index,moirai_2_0,residual_f1,0,2388,0.0
hsi,equity_index,moirai_2_0,residual_h,0,2388,0.0
hsi,equity_index,lag_llama,residual_f1,0,2388,0.0
hsi,equity_index,lag_llama,residual_h,0,2388,0.0
hsi,equity_index,(GARCH-EVT),residual_ge,0,2388,0.0
jnj,equity_single,"(E3, all)",e3,0,2639,0.0
jnj,equity_single,chronos_bolt,residual_f1,0,2447,0.0
jnj,equity_single,chronos_bolt,residual_h,0,2447,0.0
jnj,equity_single,chronos_2,residual_f1,0,2447,0.0
jnj,equity_single,chronos_2,residual_h,0,2447,0.0
jnj,equity_single,timesfm_2_5,residual_f1,0,2447,0.0
jnj,equity_single,timesfm_2_5,residual_h,0,2447,0.0
jnj,equity_single,moirai_2_0,residual_f1,0,2447,0.0
jnj,equity_single,moirai_2_0,residual_h,0,2447,0.0
jnj,equity_single,lag_llama,residual_f1,0,2447,0.0
jnj,equity_single,lag_llama,residual_h,0,2447,0.0
jnj,equity_single,(GARCH-EVT),residual_ge,0,2447,0.0
jpm,equity_single,"(E3, all)",e3,0,2639,0.0
jpm,equity_single,chronos_bolt,residual_f1,0,2447,0.0
jpm,equity_single,chronos_bolt,residual_h,0,2447,0.0
jpm,equity_single,chronos_2,residual_f1,0,2447,0.0
jpm,equity_single,chronos_2,residual_h,0,2447,0.0
jpm,equity_single,timesfm_2_5,residual_f1,0,2447,0.0
jpm,equity_single,timesfm_2_5,residual_h,0,2447,0.0
jpm,equity_single,moirai_2_0,residual_f1,0,2447,0.0
jpm,equity_single,moirai_2_0,residual_h,0,2447,0.0
jpm,equity_single,lag_llama,residual_f1,0,2447,0.0
jpm,equity_single,lag_llama,residual_h,0,2447,0.0
jpm,equity_single,(GARCH-EVT),residual_ge,0,2447,0.0
ltc,crypto,"(E3, all)",e3,0,3796,0.0
ltc,crypto,chronos_bolt,residual_f1,0,3116,0.0
ltc,crypto,chronos_bolt,residual_h,0,3116,0.0
ltc,crypto,chronos_2,residual_f1,0,3116,0.0
ltc,crypto,chronos_2,residual_h,0,3116,0.0
ltc,crypto,timesfm_2_5,residual_f1,0,3116,0.0
ltc,crypto,timesfm_2_5,residual_h,0,3116,0.0
ltc,crypto,moirai_2_0,residual_f1,0,3116,0.0
ltc,crypto,moirai_2_0,residual_h,0,3116,0.0
ltc,crypto,lag_llama,residual_f1,0,3116,0.0
ltc,crypto,lag_llama,residual_h,0,3116,0.0
ltc,crypto,(GARCH-EVT),residual_ge,0,3116,0.0
msft,equity_single,"(E3, all)",e3,0,2639,0.0
msft,equity_single,chronos_bolt,residual_f1,0,2447,0.0
msft,equity_single,chronos_bolt,residual_h,0,2447,0.0
msft,equity_single,chronos_2,residual_f1,0,2447,0.0
msft,equity_single,chronos_2,residual_h,0,2447,0.0
msft,equity_single,timesfm_2_5,residual_f1,0,2447,0.0
msft,equity_single,timesfm_2_5,residual_h,0,2447,0.0
msft,equity_single,moirai_2_0,residual_f1,0,2447,0.0
msft,equity_single,moirai_2_0,residual_h,0,2447,0.0
msft,equity_single,lag_llama,residual_f1,0,2447,0.0
msft,equity_single,lag_llama,residual_h,0,2447,0.0
msft,equity_single,(GARCH-EVT),residual_ge,0,2447,0.0
natgas,commodity,"(E3, all)",e3,0,2641,0.0
natgas,commodity,chronos_bolt,residual_f1,1,2449,0.0004
natgas,commodity,chronos_bolt,residual_h,0,2449,0.0
natgas,commodity,chronos_2,residual_f1,0,2449,0.0
natgas,commodity,chronos_2,residual_h,0,2449,0.0
natgas,commodity,timesfm_2_5,residual_f1,0,2449,0.0
natgas,commodity,timesfm_2_5,residual_h,0,2449,0.0
natgas,commodity,moirai_2_0,residual_f1,0,2449,0.0
natgas,commodity,moirai_2_0,residual_h,0,2449,0.0
natgas,commodity,lag_llama,residual_f1,0,2449,0.0
natgas,commodity,lag_llama,residual_h,0,2449,0.0
natgas,commodity,(GARCH-EVT),residual_ge,0,2449,0.0
ndx,equity_index,"(E3, all)",e3,0,2639,0.0
ndx,equity_index,chronos_bolt,residual_f1,0,2447,0.0
ndx,equity_index,chronos_bolt,residual_h,0,2447,0.0
ndx,equity_index,chronos_2,residual_f1,0,2447,0.0
ndx,equity_index,chronos_2,residual_h,0,2447,0.0
ndx,equity_index,timesfm_2_5,residual_f1,0,2447,0.0
ndx,equity_index,timesfm_2_5,residual_h,0,2447,0.0
ndx,equity_index,moirai_2_0,residual_f1,0,2447,0.0
ndx,equity_index,moirai_2_0,residual_h,0,2447,0.0
ndx,equity_index,lag_llama,residual_f1,0,2447,0.0
ndx,equity_index,lag_llama,residual_h,0,2447,0.0
ndx,equity_index,(GARCH-EVT),residual_ge,0,2447,0.0
nikkei,equity_index,"(E3, all)",e3,0,2566,0.0
nikkei,equity_index,chronos_bolt,residual_f1,0,2374,0.0
nikkei,equity_index,chronos_bolt,residual_h,0,2374,0.0
nikkei,equity_index,chronos_2,residual_f1,0,2374,0.0
nikkei,equity_index,chronos_2,residual_h,0,2374,0.0
nikkei,equity_index,timesfm_2_5,residual_f1,0,2374,0.0
nikkei,equity_index,timesfm_2_5,residual_h,0,2374,0.0
nikkei,equity_index,moirai_2_0,residual_f1,0,2374,0.0
nikkei,equity_index,moirai_2_0,residual_h,0,2374,0.0
nikkei,equity_index,lag_llama,residual_f1,0,2374,0.0
nikkei,equity_index,lag_llama,residual_h,0,2374,0.0
nikkei,equity_index,(GARCH-EVT),residual_ge,0,2374,0.0
nvda,equity_single,"(E3, all)",e3,0,2639,0.0
nvda,equity_single,chronos_bolt,residual_f1,0,2447,0.0
nvda,equity_single,chronos_bolt,residual_h,0,2447,0.0
nvda,equity_single,chronos_2,residual_f1,0,2447,0.0
nvda,equity_single,chronos_2,residual_h,0,2447,0.0
nvda,equity_single,timesfm_2_5,residual_f1,0,2447,0.0
nvda,equity_single,timesfm_2_5,residual_h,0,2447,0.0
nvda,equity_single,moirai_2_0,residual_f1,0,2447,0.0
nvda,equity_single,moirai_2_0,residual_h,0,2447,0.0
nvda,equity_single,lag_llama,residual_f1,0,2447,0.0
nvda,equity_single,lag_llama,residual_h,0,2447,0.0
nvda,equity_single,(GARCH-EVT),residual_ge,0,2447,0.0
rut,equity_index,"(E3, all)",e3,0,2639,0.0
rut,equity_index,chronos_bolt,residual_f1,0,2447,0.0
rut,equity_index,chronos_bolt,residual_h,0,2447,0.0
rut,equity_index,chronos_2,residual_f1,0,2447,0.0
rut,equity_index,chronos_2,residual_h,0,2447,0.0
rut,equity_index,timesfm_2_5,residual_f1,0,2447,0.0
rut,equity_index,timesfm_2_5,residual_h,0,2447,0.0
rut,equity_index,moirai_2_0,residual_f1,0,2447,0.0
rut,equity_index,moirai_2_0,residual_h,0,2447,0.0
rut,equity_index,lag_llama,residual_f1,0,2447,0.0
rut,equity_index,lag_llama,residual_h,0,2447,0.0
rut,equity_index,(GARCH-EVT),residual_ge,0,2447,0.0
spx,equity_index,"(E3, all)",e3,0,2639,0.0
spx,equity_index,chronos_bolt,residual_f1,0,2447,0.0
spx,equity_index,chronos_bolt,residual_h,0,2447,0.0
spx,equity_index,chronos_2,residual_f1,0,2447,0.0
spx,equity_index,chronos_2,residual_h,0,2447,0.0
spx,equity_index,timesfm_2_5,residual_f1,0,2447,0.0
spx,equity_index,timesfm_2_5,residual_h,0,2447,0.0
spx,equity_index,moirai_2_0,residual_f1,0,2447,0.0
spx,equity_index,moirai_2_0,residual_h,0,2447,0.0
spx,equity_index,lag_llama,residual_f1,0,2447,0.0
spx,equity_index,lag_llama,residual_h,1,2447,0.0004
spx,equity_index,(GARCH-EVT),residual_ge,0,2447,0.0
usdcad,fx,"(E3, all)",e3,0,2734,0.0
usdcad,fx,chronos_bolt,residual_f1,0,2542,0.0
usdcad,fx,chronos_bolt,residual_h,0,2542,0.0
usdcad,fx,chronos_2,residual_f1,0,2542,0.0
usdcad,fx,chronos_2,residual_h,0,2542,0.0
usdcad,fx,timesfm_2_5,residual_f1,0,2542,0.0
usdcad,fx,timesfm_2_5,residual_h,0,2542,0.0
usdcad,fx,moirai_2_0,residual_f1,0,2542,0.0
usdcad,fx,moirai_2_0,residual_h,0,2542,0.0
usdcad,fx,lag_llama,residual_f1,0,2542,0.0
usdcad,fx,lag_llama,residual_h,0,2542,0.0
usdcad,fx,(GARCH-EVT),residual_ge,0,2542,0.0
usdchf,fx,"(E3, all)",e3,0,2733,0.0
usdchf,fx,chronos_bolt,residual_f1,0,2541,0.0
usdchf,fx,chronos_bolt,residual_h,0,2541,0.0
usdchf,fx,chronos_2,residual_f1,0,2541,0.0
usdchf,fx,chronos_2,residual_h,0,2541,0.0
usdchf,fx,timesfm_2_5,residual_f1,0,2541,0.0
usdchf,fx,timesfm_2_5,residual_h,0,2541,0.0
usdchf,fx,moirai_2_0,residual_f1,0,2541,0.0
usdchf,fx,moirai_2_0,residual_h,0,2541,0.0
usdchf,fx,lag_llama,residual_f1,0,2541,0.0
usdchf,fx,lag_llama,residual_h,0,2541,0.0
usdchf,fx,(GARCH-EVT),residual_ge,0,2541,0.0
wmt,equity_single,"(E3, all)",e3,0,2639,0.0
wmt,equity_single,chronos_bolt,residual_f1,0,2447,0.0
wmt,equity_single,chronos_bolt,residual_h,0,2447,0.0
wmt,equity_single,chronos_2,residual_f1,0,2447,0.0
wmt,equity_single,chronos_2,residual_h,0,2447,0.0
wmt,equity_single,timesfm_2_5,residual_f1,0,2447,0.0
wmt,equity_single,timesfm_2_5,residual_h,0,2447,0.0
wmt,equity_single,moirai_2_0,residual_f1,0,2447,0.0
wmt,equity_single,moirai_2_0,residual_h,0,2447,0.0
wmt,equity_single,lag_llama,residual_f1,0,2447,0.0
wmt,equity_single,lag_llama,residual_h,0,2447,0.0
wmt,equity_single,(GARCH-EVT),residual_ge,0,2447,0.0
xom,equity_single,"(E3, all)",e3,0,2639,0.0
xom,equity_single,chronos_bolt,residual_f1,0,2447,0.0
xom,equity_single,chronos_bolt,residual_h,0,2447,0.0
xom,equity_single,chronos_2,residual_f1,0,2447,0.0
xom,equity_single,chronos_2,residual_h,0,2447,0.0
xom,equity_single,timesfm_2_5,residual_f1,0,2447,0.0
xom,equity_single,timesfm_2_5,residual_h,0,2447,0.0
xom,equity_single,moirai_2_0,residual_f1,0,2447,0.0
xom,equity_single,moirai_2_0,residual_h,0,2447,0.0
xom,equity_single,lag_llama,residual_f1,0,2447,0.0
xom,equity_single,lag_llama,residual_h,0,2447,0.0
xom,equity_single,(GARCH-EVT),residual_ge,0,2447,0.0
xrp,crypto,"(E3, all)",e3,0,2647,0.0
xrp,crypto,chronos_bolt,residual_f1,0,1967,0.0
xrp,crypto,chronos_bolt,residual_h,0,1967,0.0
xrp,crypto,chronos_2,residual_f1,0,1967,0.0
xrp,crypto,chronos_2,residual_h,0,1967,0.0
xrp,crypto,timesfm_2_5,residual_f1,0,1967,0.0
xrp,crypto,timesfm_2_5,residual_h,0,1967,0.0
xrp,crypto,moirai_2_0,residual_f1,0,1967,0.0
xrp,crypto,moirai_2_0,residual_h,0,1967,0.0
xrp,crypto,lag_llama,residual_f1,0,1967,0.0
xrp,crypto,lag_llama,residual_h,0,1967,0.0
xrp,crypto,(GARCH-EVT),residual_ge,0,1967,0.0
